"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4bJpdznQXEeRE1xrn69nMU","Take You Down","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:0cBF66VT43qWDEKFQ7qjOq","Take You Down / Melange","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2018-03-12","https://i.scdn.co/image/ab67616d0000b273b700bbe312daf6585b7e3f61","1","1","223448","https://p.scdn.co/mp3-preview/72f7ab460179a50f9dcd0ae076df3fa4fde1ae3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:brenmiester","2018-04-12T01:29:06Z"
"spotify:track:7As0vadLc9vx7rP3F2XCQY","Crab Rave","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t","Noisestorm","spotify:album:0R2u6NalsPbz0lVpqGqruZ","Crab Rave","spotify:artist:2BuSNpxpMGJGiAAWJYJT2t","Noisestorm","2018-04-01","https://i.scdn.co/image/ab67616d0000b273d53a6dde8c772d9707fc73a6","1","1","161280","","false","0","spotify:user:brenmiester","2018-04-12T01:29:13Z"
"spotify:track:3w3VG7hwvhqTM5d17s4d62","500","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:0mnvX1IRbzH8saFUVigt1r","Hopeless Arguments","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2012-10-26","https://i.scdn.co/image/ab67616d0000b273e063c76e0f9ed8a2a1aa3596","1","3","108324","https://p.scdn.co/mp3-preview/61d54dce1bb71aa7b22424eac28f4c290fd65cb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:brenmiester","2018-04-12T01:29:21Z"
"spotify:track:3507Teuh1vj1L5eMAJj80O","Energy Drink","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1","Virtual Riot","spotify:album:35UO9mxnPTDxw97754NSNI","The Classics","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1","Virtual Riot","2017-05-05","https://i.scdn.co/image/ab67616d0000b273353536c77504a45cd26a90c5","1","1","303777","https://p.scdn.co/mp3-preview/45191bd66fbd9c1d87a2b1323538931f8b6b534c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:brenmiester","2018-04-12T01:29:30Z"
"spotify:track:3BN6vz8hlGuY2xkwu8WFZV","Endless","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:2r32oPp9tqWAXRotRjMnwR","Endless","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2013-10-15","https://i.scdn.co/image/ab67616d0000b273789858164ba4b65f2d26c5c0","1","1","280002","https://p.scdn.co/mp3-preview/38e04db700e1cd031639bb7dbda0588d9027e0b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:brenmiester","2018-04-12T01:29:37Z"
"spotify:track:4e41QbEeC67L5XLXj6v9Kw","Aunty Donna Theme","spotify:artist:590eeDBmZjoahBTswUJ3AM, spotify:artist:05ekpLtsCMtrb8A9Drhifw","Aunty Donna, SUB-human","spotify:album:3cr6Evuo4S4LYntVWNxKUK","The Album","spotify:artist:590eeDBmZjoahBTswUJ3AM","Aunty Donna","2018-04-06","https://i.scdn.co/image/ab67616d0000b2735ad66744fe28ea736a803d51","1","14","165333","","true","0","spotify:user:brenmiester","2018-04-12T01:30:00Z"
"spotify:track:5NgflIIUfY2sfuntLtcbLN","Anchor","spotify:artist:0A51LEnyTnXX33IyuwM0Ts","Rob Scallon","spotify:album:2NRmQa5rsSqARapsAQJx9n","Anchor EP (Tour Edition)","spotify:artist:0A51LEnyTnXX33IyuwM0Ts","Rob Scallon","2016-07-26","https://i.scdn.co/image/ab67616d0000b273f469dc1aa4409afc18f2cbc9","1","1","231927","https://p.scdn.co/mp3-preview/5c3f5e389e2f0046dbdf5bceb98b414834f1b630?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:brenmiester","2018-04-12T01:30:11Z"
"spotify:track:3XcQAraNzJbOXk7zvg3DwK","Massacre","spotify:artist:6SJnjpekgnONgNtxKeMP8m","Dodge & Fuski","spotify:album:4KAy2BEt3v3VD0nxDqcMmz","The Greatest Album Of All Time","spotify:artist:6SJnjpekgnONgNtxKeMP8m","Dodge & Fuski","2018-03-26","https://i.scdn.co/image/ab67616d0000b273325d5a9f82af4c22a7402598","1","9","180800","https://p.scdn.co/mp3-preview/6a3ba066bb1bd1f5e9c3ed3ce9696f72a97abe11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:brenmiester","2018-04-12T01:30:25Z"
"spotify:track:4MpGcvLqCuHS20xdEan6HK","600 Years","spotify:artist:6zL4UbVtrGZPjvTTeNKyAc","Far Too Loud","spotify:album:3JPq0Qmp0j7aoohXBHa2IO","Firestorm EP","spotify:artist:6zL4UbVtrGZPjvTTeNKyAc","Far Too Loud","2012-07-29","https://i.scdn.co/image/ab67616d0000b27311d2a8a4f7a22a84a9471a20","1","3","239256","https://p.scdn.co/mp3-preview/f0a79478cec2e5d0e3c03778630aacd659446f1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:brenmiester","2018-04-12T01:30:36Z"
"spotify:track:3p23SEF1mvTwh4IW1dIX1p","Pray For Riddim","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1","Virtual Riot","spotify:album:0khYk9RwSd8BY3un1cyznz","German Engineering EP","spotify:artist:4FXGRMSHh2JjHxVwS8dhH1","Virtual Riot","2018-01-31","https://i.scdn.co/image/ab67616d0000b273da14a10419486f3e7c214aea","1","1","217600","https://p.scdn.co/mp3-preview/b0554b14e30fc80c0b50aceea2f0e6c33d59088d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:brenmiester","2018-04-12T01:31:10Z"
"spotify:track:2oxbgAkN0nJhSz9ngSSXRL","Blackout","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","spotify:album:0of0qWNbNmUck9ODJzBPA3","Nerds by Nature - EP","spotify:artist:0lLY20XpZ9yDobkbHI7u1y","Pegboard Nerds","2017-01-13","https://i.scdn.co/image/ab67616d0000b2731997f03aceb5147e33e550f8","1","6","212323","","false","0","spotify:user:brenmiester","2018-04-12T01:31:31Z"
"spotify:track:743KiQh0EMFvdE5C86YJ6X","Confessions (feat. Cozi Zuehlsdorff)","spotify:artist:41DKMtAnhVo7aDeluAHDJg, spotify:artist:5wMfct6VVvaVQ8xGCXxIUa","MYRNE, Cozi Zuehlsdorff","spotify:album:46qweQvzWZLCrZKmm0C8Ve","Monstercat: Best of 2017","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-12-18","https://i.scdn.co/image/ab67616d0000b27390dc6871ac8056484e3cb5b8","1","4","260064","","false","0","spotify:user:brenmiester","2018-04-12T01:31:44Z"
"spotify:track:1tOUguEF8vSAY6ydUUzCY7","Heaven Let Us Down (feat. Koda)","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:3WhvgoOwfFRjuHf7zgCptu","Pegboard Nerds, Koda","spotify:album:46qweQvzWZLCrZKmm0C8Ve","Monstercat: Best of 2017","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-12-18","https://i.scdn.co/image/ab67616d0000b27390dc6871ac8056484e3cb5b8","1","1","331998","","false","0","spotify:user:brenmiester","2018-04-12T01:31:50Z"
"spotify:track:6Zs8QtA0FNHfS9B1tO8yMC","New Dawn","spotify:artist:7uGeDBa1LJ7T1X4fpl8mwk","Bad Computer","spotify:album:46qweQvzWZLCrZKmm0C8Ve","Monstercat: Best of 2017","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-12-18","https://i.scdn.co/image/ab67616d0000b27390dc6871ac8056484e3cb5b8","1","18","307978","","false","0","spotify:user:brenmiester","2018-04-12T01:32:03Z"
"spotify:track:0tMMk8rsCIhHX3DHtKdDhL","Go Berzerk","spotify:artist:0lLY20XpZ9yDobkbHI7u1y, spotify:artist:0MYmMGmRg8CFZPNZBAdjm1","Pegboard Nerds, Quiet Disorder","spotify:album:7horTYocnaesuvKjwVkVPs","Monstercat 030: Finale","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-02-22","https://i.scdn.co/image/ab67616d0000b27382c830cbb93128f0a9bc5c27","1","3","207871","","false","0","spotify:user:brenmiester","2018-04-12T01:32:42Z"
"spotify:track:4qHV3TIuG6gLgJpFJD2ZTq","THE DROP","spotify:artist:5nd7jnne7zbsV2J5jBKNOY","Gammer","spotify:album:2SB3vDUgEQ9EliA0hpJvSn","THE DROP","spotify:artist:5nd7jnne7zbsV2J5jBKNOY","Gammer","2017-11-22","https://i.scdn.co/image/ab67616d0000b2732df1940eb6ca9970b3a21b0b","1","4","232158","","false","0","spotify:user:brenmiester","2018-04-12T01:32:59Z"
"spotify:track:5f6igUw1asUL4AGXSvgTW8","Levels - Skrillex Remix","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5he5w2lnU9x7JFhnwcekXX","Avicii, Skrillex","spotify:album:42z0CzDpHpFYXLmKIk6NuC","Levels (Remixes)","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2011-12-19","https://i.scdn.co/image/ab67616d0000b27398b2942df06b3ec74223920c","1","1","281146","https://p.scdn.co/mp3-preview/b1e2761d063b824b4592260066abec361611f779?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:brenmiester","2018-04-21T04:39:48Z"
"spotify:track:7LTjJwEnPWwu5amZdF7OMS","Money Maker (feat. LunchMoney Lewis & Aston Merrygold)","spotify:artist:6mPZJXtFVaakznkRxdgWtC, spotify:artist:0PHiin6bQggP8WzI7LgTtr, spotify:artist:2iUbk5KhZYZt4CRvWbwb7S","Throttle, Aston Merrygold , LunchMoney Lewis","spotify:album:1SNrktcEW96bEz2t05TlTZ","Money Maker (feat. LunchMoney Lewis & Aston Merrygold)","spotify:artist:6mPZJXtFVaakznkRxdgWtC","Throttle","2016-09-09","https://i.scdn.co/image/ab67616d0000b273f36c14b8ca2f3af67a253e18","1","1","161985","https://p.scdn.co/mp3-preview/4d4983b18a31ca160b64a75a4abd046d48c51b4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:brenmiester","2018-04-21T05:10:46Z"
"spotify:track:5gUuN54cI17JA2DgJHahNO","Questions","spotify:artist:28Ky95tmlHktB96DBUoB0g","Tristam","spotify:album:5SNd3LaGqYfxV8IJ0IczsV","Questions","spotify:artist:28Ky95tmlHktB96DBUoB0g","Tristam","2018-04-20","https://i.scdn.co/image/ab67616d0000b273b2fb639c40dc3170cae3da50","1","1","250203","","false","0","spotify:user:brenmiester","2018-04-21T11:49:32Z"
"spotify:track:0cON9blGpAWOsecmThlqUN","Welcome to the Black Parade - Steve Aoki 10th Anniversary Remix","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb, spotify:artist:77AiFEVeAVj2ORpC85QVJs","My Chemical Romance, Steve Aoki","spotify:album:3aZPIAZ81IzVCi6htQW9s6","Welcome to the Black Parade (Steve Aoki 10th Anniversary Remix)","spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb","My Chemical Romance","2016-11-28","https://i.scdn.co/image/ab67616d0000b2734d5bf1b61f1728c9093004ff","1","1","210000","","false","0","spotify:user:brenmiester","2018-04-23T07:59:24Z"
