"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3w3VG7hwvhqTM5d17s4d62","500","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:0mnvX1IRbzH8saFUVigt1r","Hopeless Arguments","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2012-10-26","https://i.scdn.co/image/ab67616d0000b273e063c76e0f9ed8a2a1aa3596","1","3","108324","https://p.scdn.co/mp3-preview/61d54dce1bb71aa7b22424eac28f4c290fd65cb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:brenmiester","2018-10-05T10:27:13Z"
"spotify:track:1pHP4JeQV9wDx87D6qH9hD","Here It Goes Again","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:1qN6qh1gwgrYTCdSq21gov","Oh No","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2005-01-01","https://i.scdn.co/image/ab67616d0000b27371e01645abce04dda00e1c0c","1","3","179813","https://p.scdn.co/mp3-preview/7327e3ac55e460208a753ce81872321dc06b7603?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2018-10-05T10:27:33Z"
"spotify:track:2NjYndZ70KjfYTdDCZEw0F","Hands Down","spotify:artist:14mErTJ0ubFVjx2zBAwjkE, spotify:artist:3XyvBNwsPBVhCXoYLNNQ84, spotify:artist:0PqgxdVGANnDuXv1YPCBnV","Brandyn Burnette, dwilly, Kayo Genesis","spotify:album:4KczjkB8NSfRwuCG5l1Ru4","Hands Down","spotify:artist:14mErTJ0ubFVjx2zBAwjkE, spotify:artist:3XyvBNwsPBVhCXoYLNNQ84","Brandyn Burnette, dwilly","2018-04-10","https://i.scdn.co/image/ab67616d0000b27364f95ae12fddd878f6915a93","1","1","183652","","false","0","spotify:user:brenmiester","2018-10-05T10:27:57Z"
"spotify:track:32OBFOWMnexg9lxES26hV1","Next To Me","spotify:artist:7yoh9onDM7XQFBepQTI6Qu","Lvly","spotify:album:6l0qcKAJyMEcpjKwIOy1sT","Brand New (Helium)","spotify:artist:7yoh9onDM7XQFBepQTI6Qu","Lvly","2018-04-13","https://i.scdn.co/image/ab67616d0000b273fad7569383884490fd68d847","1","2","218724","","false","0","spotify:user:brenmiester","2018-10-05T10:28:45Z"
"spotify:track:5ypWHAYnaYk9a9wnLnb6BZ","In Your Arms","spotify:artist:3AMFQZ3Tt549kShRG2IBYT, spotify:artist:4E4SekvxCHHEUU0nwxsdTG","Aiobahn, Ralph Larenzo","spotify:album:7ixGX8p4AJFNH7VsKMb2Xi","In Your Arms","spotify:artist:3AMFQZ3Tt549kShRG2IBYT","Aiobahn","2018-07-17","https://i.scdn.co/image/ab67616d0000b273c26b3d946ee14c1e988c1fb2","1","1","187500","","false","0","spotify:user:brenmiester","2018-10-05T10:28:54Z"
"spotify:track:0M0qBmQ9ffPd7QRLhxIiYS","Hang Up","spotify:artist:4VqBNQRr0nDN0trNUOn0co, spotify:artist:4dRRQxDsUXpBkGqjS7vNcO","WRLD, Savoi","spotify:album:1TdTdDMA6iLzP2wPCPO3qK","Hang Up","spotify:artist:4VqBNQRr0nDN0trNUOn0co","WRLD","2018-04-06","https://i.scdn.co/image/ab67616d0000b273cbb2b9ef837e74dfd4bd043b","1","1","199500","","false","0","spotify:user:brenmiester","2018-10-05T10:29:05Z"
"spotify:track:3nIJi5VL4mQi4O1j7x8DB5","Long Gone","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","spotify:album:7IJo8tNm7rBc86rvyUygz4","Stars","spotify:artist:7HifubxN0gO1nHbRIqWhrY","Andrew Huang","2017-11-03","https://i.scdn.co/image/ab67616d0000b273f7a2a1fdb80de6044deb2ba8","1","2","233653","https://p.scdn.co/mp3-preview/df96b192c7aaa1e336c4031befcefb3e5b368073?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:brenmiester","2018-10-05T10:29:28Z"
"spotify:track:02qmoi7zD0RNBKM0L7KjqV","Sleepy","spotify:artist:4o66UJPzUonUgENhbqpHRX","MYLK","spotify:album:3fTgC4E4EK0zP2eVat5urv","Sleepy","spotify:artist:4o66UJPzUonUgENhbqpHRX","MYLK","2018-07-13","https://i.scdn.co/image/ab67616d0000b2735be9e4a8190f5c66bb05d7fb","1","1","180937","https://p.scdn.co/mp3-preview/434eb57039d1a91361c68db4e160baf47a6f4738?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:brenmiester","2018-10-05T10:30:02Z"
"spotify:track:6ZfsjLmyafNDKL2KvWmkb8","September","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","spotify:album:1tlR7pnFNO43qXXGMf44LP","September","spotify:artist:1BAdSa5cdtCNLbvT7gWmtJ","Conro","2018-09-01","https://i.scdn.co/image/ab67616d0000b273aec8baec2a69aec678b7191c","1","1","214576","https://p.scdn.co/mp3-preview/0e6ceb336948d4bafc2bcae7975416268bb8283b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:brenmiester","2018-10-05T10:30:23Z"
"spotify:track:0GM9drSt55aAjGgKrR5Xpj","This Love (feat. Savoi)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12, spotify:artist:4dRRQxDsUXpBkGqjS7vNcO","LVTHER, Savoi","spotify:album:4YI3Z0HYptBTuPWHCoUlpz","This Love (feat. Savoi)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12","LVTHER","2018-02-16","https://i.scdn.co/image/ab67616d0000b2734816cf52ce93fed22cfb8d8f","1","1","181276","","false","0","spotify:user:brenmiester","2018-10-05T10:30:30Z"
