"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5CYafk31NKbCXaJcWPyo3n","Hurts Just Right","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:56dMhFeW3YwkWQug4yhsfI","Hurts Just Right/Can't Have You","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2018-11-30","https://i.scdn.co/image/ab67616d0000b273c3f6e3355b87357b3e9f176b","1","1","170480","https://p.scdn.co/mp3-preview/b4eee53659a775b63a15dc0e2735ddbdc1b3907b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","8","spotify:user:brenmiester","2018-12-30T03:26:01Z"
"spotify:track:5bkCdxqBP3gx3dlNdcbUxI","Can't Have You","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:56dMhFeW3YwkWQug4yhsfI","Hurts Just Right/Can't Have You","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2018-11-30","https://i.scdn.co/image/ab67616d0000b273c3f6e3355b87357b3e9f176b","1","2","201328","https://p.scdn.co/mp3-preview/60fa6be268a5956794e99459a870be0455382f4d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","spotify:user:brenmiester","2018-12-30T03:26:01Z"
"spotify:track:3w3VG7hwvhqTM5d17s4d62","500","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:0mnvX1IRbzH8saFUVigt1r","Hopeless Arguments","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2012-10-26","https://i.scdn.co/image/ab67616d0000b273e063c76e0f9ed8a2a1aa3596","1","3","108324","https://p.scdn.co/mp3-preview/61d54dce1bb71aa7b22424eac28f4c290fd65cb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:brenmiester","2018-12-30T03:26:01Z"
"spotify:track:7INY6nq5D06yP2ZQOPC3C8","Seven","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:7biPh2iCGGup7CqInOEqj7","Bad Dreams & Tumbleweeds","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2013-11-21","https://i.scdn.co/image/ab67616d0000b273638a96c06532d531fd3d3b01","1","3","146125","https://p.scdn.co/mp3-preview/6c05651f7a5816d1d3d6cf41da39b36f27067a7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:brenmiester","2018-12-30T03:26:01Z"
"spotify:track:4PxjoJ0yqPohLpv1rvxeSK","Suicide City","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:3rl8L3ryVKr0X5cmEaze0V","12 Reasons For Self-Medication","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2017-12-02","https://i.scdn.co/image/ab67616d0000b27399d21c6ee9bbc27f413c94c4","1","2","215840","https://p.scdn.co/mp3-preview/67feba3598d1dcdbcd5c9687d7cb22b71caf6a3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:brenmiester","2018-12-30T03:26:01Z"
"spotify:track:3fURW6LWG5AmdCMU0u5G9W","99 Fatalities","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:3K42m3a6sWjYBLSGmc1rCh","Madhouse","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2014-12-21","https://i.scdn.co/image/ab67616d0000b27343671378315597aa1b67ec1a","1","3","163189","https://p.scdn.co/mp3-preview/5de61ef78ad3d960f574c8ed0654fcb7a4962a46?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:brenmiester","2018-12-30T03:26:01Z"
"spotify:track:4vWP2qTHuGH9WfLNxMEBqS","Dead At 21","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:3rl8L3ryVKr0X5cmEaze0V","12 Reasons For Self-Medication","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2017-12-02","https://i.scdn.co/image/ab67616d0000b27399d21c6ee9bbc27f413c94c4","1","4","164480","https://p.scdn.co/mp3-preview/012be58446502c8393be9ac04f23d15bbea433af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:brenmiester","2018-12-30T03:26:01Z"
"spotify:track:3cZt6DR3olI5DVXTCrfp3U","Indie Girl","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:7biPh2iCGGup7CqInOEqj7","Bad Dreams & Tumbleweeds","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2013-11-21","https://i.scdn.co/image/ab67616d0000b273638a96c06532d531fd3d3b01","1","5","178750","https://p.scdn.co/mp3-preview/0c7eabb69cfecd26a953d9c9f120dc4ff2f37ac9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:brenmiester","2018-12-30T03:26:01Z"
"spotify:track:76msrzkd9Y2hDHv5NLpofg","Gasoline","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","spotify:album:3rl8L3ryVKr0X5cmEaze0V","12 Reasons For Self-Medication","spotify:artist:7ej3r9Ru63d7mE2uzso1uE","BRAINCOATS","2017-12-02","https://i.scdn.co/image/ab67616d0000b27399d21c6ee9bbc27f413c94c4","1","7","189146","https://p.scdn.co/mp3-preview/208792a71924468be80a6ab338306316ef31404b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:brenmiester","2018-12-30T03:26:01Z"
"spotify:track:7N3DKWBC8pKoTf0JzyYKaj","The Hardest Button To Button","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:0rRNLpdA8nA8Sm8Fk490b9","Elephant","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2003-04-01","https://i.scdn.co/image/ab67616d0000b273f5ae4810a9529d7614e28e76","1","9","212320","","false","0","spotify:user:brenmiester","2018-12-30T03:26:39Z"
"spotify:track:0FARxqfTf2VoDksn2pFLKN","Death By Diamonds And Pearls","spotify:artist:4ddt8PPvmWrI9mJQy1VrIG","Band Of Skulls","spotify:album:324BTvXR9NMitN9KndHLKA","Baby Darling Doll Face Honey","spotify:artist:4ddt8PPvmWrI9mJQy1VrIG","Band Of Skulls","2009-04-21","https://i.scdn.co/image/ab67616d0000b273f4aa5d439d8ba0e019fbb510","1","2","192933","","false","0","spotify:user:brenmiester","2018-12-30T03:26:49Z"
"spotify:track:6vluCORdF8bV6zhXfKyKBp","Blue Orchid","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:39CQ9tlFmcmE2pN6PkJWvZ","Get Behind Me Satan","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2005-06-07","https://i.scdn.co/image/ab67616d0000b273086f98344b4a2ff71f2622a8","1","1","158280","","false","0","spotify:user:brenmiester","2018-12-30T03:27:12Z"
"spotify:track:7dRj3sTBYkNbEx5kdNHriv","MANTRA","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:5V4SjUDKVzGxIJDxIHfOZ3","MANTRA","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2018-08-21","https://i.scdn.co/image/ab67616d0000b2739c4b57b1c8e839815c75e64f","1","1","233297","https://p.scdn.co/mp3-preview/870465f2ffd3b194a2aadaac1712ff1d1faf7da8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:brenmiester","2018-12-30T03:27:34Z"
"spotify:track:5tYqrn7cItYhDGDLHt8XuH","Throne","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","spotify:album:6XPW94L30lADaLwczUnLFh","That's The Spirit (Track by Track Commentary)","spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF","Bring Me The Horizon","2015-09-04","https://i.scdn.co/image/ab67616d0000b273dcd553dee87b1736d18cc932","1","6","190920","","false","0","spotify:user:brenmiester","2018-12-30T03:27:43Z"
"spotify:track:3nEzCR8b6O0EfWXD8xHcU2","Needing/Getting","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","spotify:album:2ZSt5m1kE9FIFTM8c0b1ws","Of The Blue Colour of the Sky Extra Nice Edition","spotify:artist:3hozsZ9hqNq7CoBGYNlFTz","OK Go","2010-10-15","https://i.scdn.co/image/ab67616d0000b2730ab26430f9bc394f63b864b0","1","4","313760","https://p.scdn.co/mp3-preview/7e0a4d6aa85e8b0271251d019aa9e688250f4283?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:brenmiester","2019-01-27T03:28:40Z"
