Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At
spotify:track:5b88tNINg4Q4nrRbrCXUmg,"Happy - From ""Despicable Me 2""",spotify:artist:2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,spotify:album:2lkQd5T32QHDOfFkEIPJKz,G I R L,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,3/03/2014,https://i.scdn.co/image/ab67616d0000b273d005b5fa12875efb624e8e12,1,5,232720,,FALSE,3,spotify:user:,2019-12-12T22:29:17Z
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk (feat. Bruno Mars),"spotify:artist:3hv9jJF3adDNsBSIQDqcjp, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Mark Ronson, Bruno Mars",spotify:album:3vLaOYCNCzngDf8QdBg2V1,Uptown Special,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,12/01/2015,https://i.scdn.co/image/ab67616d0000b273e419ccba0baa8bd3f3d7abf2,1,4,269666,https://p.scdn.co/mp3-preview/f33e7b185ab89fc1eb78cf9b023213c94f7c05a1?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,82,spotify:user:,2019-12-12T22:29:17Z
spotify:track:6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",spotify:artist:31TPClRtHm23RisEBtV3X7,Justin Timberlake,spotify:album:40LbnfieVTWtHrK24WQeEB,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",spotify:artist:31TPClRtHm23RisEBtV3X7,Justin Timberlake,6/05/2016,https://i.scdn.co/image/ab67616d0000b273ef37416970812293c08e8a78,1,1,236001,https://p.scdn.co/mp3-preview/001f7dbdff06d2ca3e57e1e42331345fdf2ac73a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,77,spotify:user:,2019-12-12T22:29:17Z
spotify:track:0cqRj7pUJDkTCEsJkx8snD,Shake It Off,spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,spotify:album:1yGbNOtRIgdIiGHOEBaZWf,1989 (Deluxe),spotify:artist:06HL4z0CvFAxyc27GXpf02,Taylor Swift,1/01/2014,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,1,6,219200,https://p.scdn.co/mp3-preview/6444be6e66860cb1f43a1a47cb756c7f2ceb605c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,80,spotify:user:,2019-12-12T22:29:17Z
spotify:track:7iyIleLfoTXbUVlch3CVFw,"Immortals - From ""Big Hero 6""",spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,spotify:album:4wcocwnq44bcDCe1M1dtVG,"Immortals (From ""Big Hero 6"")",spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,1/01/2014,https://i.scdn.co/image/ab67616d0000b2735f7e46fecb396f3f2542c850,1,1,193280,https://p.scdn.co/mp3-preview/9a1d82ab4a9b86ff9234b997a7d4dca4cda85e75?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,53,spotify:user:,2019-12-12T22:29:17Z
spotify:track:1kPpge9JDLpcj15qgrPbYX,Good Time,"spotify:artist:07QEuhtrNmmZ0zEcqE9SF6, spotify:artist:6sFIWsNpZYqfjUpaCgueju","Owl City, Carly Rae Jepsen",spotify:album:7gTFf2EWBONpjKVjpWbs5p,The Midsummer Station,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6,Owl City,1/01/2012,https://i.scdn.co/image/ab67616d0000b273cf5459850259268f98b07f7a,1,7,205933,https://p.scdn.co/mp3-preview/97ad280309ec5518b51fee06186984ad9a20f321?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,78,spotify:user:,2019-12-12T22:29:17Z
spotify:track:6myDPrp86x4Lhyp5aqU0EV,Cosby Sweater,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,Hilltop Hoods,spotify:album:7Lp5k5j4kHtTT8zOpJkfUN,Walking Under Stars,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,Hilltop Hoods,8/08/2014,https://i.scdn.co/image/ab67616d0000b273b7afd289a9997752ee1fd1f6,1,3,217720,https://p.scdn.co/mp3-preview/40db6624cdda628de27aced87380d63dd256b85d?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,64,spotify:user:,2019-12-12T22:29:17Z
spotify:track:52fnLN02thRhTnbzVZzdqq,Chelsea Dagger,spotify:artist:3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,spotify:album:7mZh4xOrvqLmW30UIZm3X6,Chelsea Dagger (Radio Edit),spotify:artist:3M4ThdJR28z9eSMcQHAZ5G,The Fratellis,1/01/2006,https://i.scdn.co/image/ab67616d0000b27324f18d675f719a4afb1afb5d,1,1,203760,https://p.scdn.co/mp3-preview/10dd6d5f50531da2063b33150bdfb630b8d9dd98?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,spotify:user:,2019-12-12T22:29:17Z
spotify:track:76qHqnhdALHDcz3LcJeo7l,Cigarettes In The Theatre,spotify:artist:536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,spotify:album:4V1rQRHuuOWs8fXRl16OMY,Tourist History,spotify:artist:536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,7/02/2010,https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72,1,1,213533,,FALSE,0,spotify:user:,2019-12-12T22:29:17Z
spotify:track:1qfYG2JrchEyJiqKnkE7YQ,What You Know,spotify:artist:536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,spotify:album:4V1rQRHuuOWs8fXRl16OMY,Tourist History,spotify:artist:536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,7/02/2010,https://i.scdn.co/image/ab67616d0000b273ed32602d9145d51e00a2df72,1,8,189693,,FALSE,2,spotify:user:,2019-12-12T22:29:17Z
