"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3aIhJDHxr1kgTSnutJxPTH","Peanut Butter Jelly","spotify:artist:4sTQVOfp9vEMCemLw50sbu","Galantis","spotify:album:4QcXq4vTVN7dFb7bZa9jG2","Pharmacy","spotify:artist:4sTQVOfp9vEMCemLw50sbu","Galantis","2015-06-05","https://i.scdn.co/image/ab67616d0000b2732b517912fd69652ff10d8e11","1","9","203133","https://p.scdn.co/mp3-preview/b7fb82cd8de6d07fca2be8ce026004c26c8072c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:","2020-11-27T11:58:52Z"
"spotify:track:0TZ1MAPCWb2jpaKzS5Muyz","Everything Went Numb","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","spotify:album:5slTcrsJ9B8Q4q8rA135XE","Everything Goes Numb","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","2003-08-26","https://i.scdn.co/image/ab67616d0000b27302c5106bd25321cd34e96bb8","1","1","209973","https://p.scdn.co/mp3-preview/27989f14f5a087522a50fb105c173af3ab076c53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:","2020-11-27T11:58:52Z"
"spotify:track:6vluCORdF8bV6zhXfKyKBp","Blue Orchid","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:39CQ9tlFmcmE2pN6PkJWvZ","Get Behind Me Satan","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2005-06-07","https://i.scdn.co/image/ab67616d0000b273086f98344b4a2ff71f2622a8","1","1","158280","","false","0","spotify:user:","2020-11-27T11:58:52Z"
"spotify:track:2KjqIRW1pRVK7o5B29UqYI","My Doorbell","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:39CQ9tlFmcmE2pN6PkJWvZ","Get Behind Me Satan","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2005-06-07","https://i.scdn.co/image/ab67616d0000b273086f98344b4a2ff71f2622a8","1","3","241840","","false","0","spotify:user:","2020-11-27T11:58:52Z"
"spotify:track:5mr06ofu0NYuw3XpiokMct","Fake ID","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:59iOp415oyqGlBHyAhu4z3","Riton, Kah-Lo","spotify:album:6br1zYHdMWECx7CSjaWwB4","Fake ID","spotify:artist:7i9j813KFoSBMldGqlh2Z1, spotify:artist:59iOp415oyqGlBHyAhu4z3","Riton, Kah-Lo","2017-12-16","https://i.scdn.co/image/ab67616d0000b273eefd44a5b2c10d019aeb02f7","1","1","246970","","false","1","spotify:user:","2020-11-27T11:58:52Z"
"spotify:track:0AxiIK13LDekg469wOuhIJ","Me and Julio Down by the School Yard","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","spotify:album:38HGFXuY2NjAgKC9qr8Bya","99 Songs of Revolution Vol. 1","spotify:artist:1OKOTYGoCE2buxTYMegJp7","Streetlight Manifesto","2010-03-16","https://i.scdn.co/image/ab67616d0000b2738197759fb901c5b6bb426b44","1","7","147093","https://p.scdn.co/mp3-preview/86f1a1692c91c470d4218f7b479d09fb774a7de1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2020-11-27T11:58:52Z"
"spotify:track:1ATe6SfYWIrsK7L7w7OmdN","Find That Someone","spotify:artist:5h4HpujvLoTaqy2tkrs2DC, spotify:artist:5z275L9haKWG328mm7UFd3","Televisor, Richard Judge","spotify:album:1wgp2985J4ih0t5s7TAxOF","Venture","spotify:artist:5h4HpujvLoTaqy2tkrs2DC","Televisor","2015-04-06","https://i.scdn.co/image/ab67616d0000b2733665853d5cc2dd2b4200497c","1","1","228000","https://p.scdn.co/mp3-preview/bc4e33bd7467e7e87e7b2ae1ac305a5d4c507abc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2020-11-27T11:58:52Z"
"spotify:track:7aBAo2pO8LvrN8mGba7MvA","Icky Thump","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","spotify:album:77dc8fS3O8FaQjhbNASpgM","Icky Thump","spotify:artist:4F84IBURUo98rz4r61KF70","The White Stripes","2007-06-15","https://i.scdn.co/image/ab67616d0000b2739295cf342788e9c05b2e2720","1","1","254533","","false","1","spotify:user:","2020-11-27T11:58:52Z"
"spotify:track:78qd8dvwea0Gosb6Fe6j3k","Boss Bitch","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:4pmyFpGicLLIgNPc1TQXKc","Boss Bitch","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2020-01-23","https://i.scdn.co/image/ab67616d0000b27310356a0e81371e6644cb1371","1","1","134239","https://p.scdn.co/mp3-preview/42847ffa3c83fcfce624d09a8d3d39a15d53e199?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:","2020-11-27T11:58:52Z"
"spotify:track:3T76zPJz3tWL27FrjJe2ot","Lazaretto","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","spotify:album:36LXzRarDP8TU8K0REGpt6","Lazaretto","spotify:artist:4FZ3j1oH43e7cukCALsCwf","Jack White","2014-06-10","https://i.scdn.co/image/ab67616d0000b2731cf7e27ac5a95d7069ffad98","1","2","219400","https://p.scdn.co/mp3-preview/db9c14b8a71395ce6474c3cf5239cc8060f4fd5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2020-11-27T11:58:52Z"
