"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1TMWcbxL5YF8rKsFHv5hAP","Rules","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:1MmVkhiwTH0BkNOU3nw5d3","Hot Pink","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2019-11-07","https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533","1","3","187040","https://p.scdn.co/mp3-preview/31321f5e55071cc025b069c54e6cb28daa726bea?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","spotify:user:brenmiester","2020-09-10T07:06:36Z"
"spotify:track:6qNB2ChCVPepl5ZjVJJTUW","STUPID (feat. Yung Baby Tate)","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP, spotify:artist:3IJ21966TwNZI24MwZHMu4","Ashnikko, Baby Tate","spotify:album:5eKuModdAdZRmc51241r4D","Hi, It's Me","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP","Ashnikko","2019-07-12","https://i.scdn.co/image/ab67616d0000b2734d165570efefd46cfad3eb36","1","3","167317","https://p.scdn.co/mp3-preview/61b13f60bba8b0c04cce0cb5e34a3c9e06482610?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","spotify:user:brenmiester","2020-09-10T07:06:46Z"
"spotify:track:78qd8dvwea0Gosb6Fe6j3k","Boss Bitch","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:4pmyFpGicLLIgNPc1TQXKc","Boss Bitch","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2020-01-23","https://i.scdn.co/image/ab67616d0000b27310356a0e81371e6644cb1371","1","1","134239","https://p.scdn.co/mp3-preview/42847ffa3c83fcfce624d09a8d3d39a15d53e199?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:brenmiester","2020-09-10T07:07:27Z"
"spotify:track:4Oun2ylbjFKMPTiaSbbCih","WAP (feat. Megan Thee Stallion)","spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:181bsRPaVXVlUKXrxwZfHK","Cardi B, Megan Thee Stallion","spotify:album:2ogiazbrNEx0kQHGl5ZBTQ","WAP (feat. Megan Thee Stallion)","spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:181bsRPaVXVlUKXrxwZfHK","Cardi B, Megan Thee Stallion","2020-08-07","https://i.scdn.co/image/ab67616d0000b273c450c89d3eb750d3535b0a0c","1","1","187541","https://p.scdn.co/mp3-preview/1ca9e7769467092ff12a0aee336488ce1b53501c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","spotify:user:brenmiester","2020-09-10T07:09:57Z"
"spotify:track:0AUvWawuP0ibk4SQ3sIZjk","Daisy","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP","Ashnikko","spotify:album:5tRhwDUyr3HypAaJysxUki","Daisy","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP","Ashnikko","2020-07-09","https://i.scdn.co/image/ab67616d0000b273459032f0de5f7f188301d99b","1","1","146523","https://p.scdn.co/mp3-preview/b5b6b76fee422639dfc6f872853d1bdc700fc839?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:brenmiester","2020-09-10T07:56:12Z"
"spotify:track:0w1Wd17IygSVDMOZtKm4hi","Cry (feat. Grimes)","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP","Ashnikko","spotify:album:0osHesMrCdavp471L78uwu","Cry (feat. Grimes)","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP","Ashnikko","2020-06-17","https://i.scdn.co/image/ab67616d0000b273b92c8caf2c7b8f35c2b3ff00","1","1","126274","https://p.scdn.co/mp3-preview/bc98e64fb55a6e8e82c4bdd2c6288b439ad06507?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:brenmiester","2020-09-10T07:56:24Z"
"spotify:track:57Oi4yqY27uJzCyqFWIP5q","3 Musketeers","spotify:artist:2e7a6ZMxkwltCzbxHq8b3t, spotify:artist:2u1aL8XADqj0nJFHMKRjNw","NextYoungin, ppcocaine","spotify:album:21x636uz6Wlo6T5ets8bek","3 Musketeers","spotify:artist:2u1aL8XADqj0nJFHMKRjNw","ppcocaine","2020-07-07","https://i.scdn.co/image/ab67616d0000b273e41c628e9a26872c44134795","1","1","166857","https://p.scdn.co/mp3-preview/d41843ed42b58dfe1de4907122cd3bcd8dd9b909?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:brenmiester","2020-09-10T12:25:19Z"
"spotify:track:23Dapn8107GgxvXDIsPwWm","stupid horse","spotify:artist:6PfSUFtkMVoDkx4MQkzOi3, spotify:artist:3sklFG9fuDAq3vbIZlkNH6, spotify:artist:2Cm6C9PNHioyjRKBfO7n9N","100 gecs, Laura Les, Dylan Brady","spotify:album:2uhB1KivbFnlkARpbd0Cvu","1000 gecs","spotify:artist:6PfSUFtkMVoDkx4MQkzOi3","100 gecs","2019-05-31","https://i.scdn.co/image/ab67616d0000b2734123c0f9b6689205d20f350f","1","5","121681","https://p.scdn.co/mp3-preview/4c3aef74f90d4f6921b282cc34b4d18ae032bdc0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:brenmiester","2020-09-10T12:25:59Z"
"spotify:track:61bwFjzXGG1x2aZsANdLyl","money machine","spotify:artist:6PfSUFtkMVoDkx4MQkzOi3, spotify:artist:3sklFG9fuDAq3vbIZlkNH6, spotify:artist:2Cm6C9PNHioyjRKBfO7n9N","100 gecs, Laura Les, Dylan Brady","spotify:album:2uhB1KivbFnlkARpbd0Cvu","1000 gecs","spotify:artist:6PfSUFtkMVoDkx4MQkzOi3","100 gecs","2019-05-31","https://i.scdn.co/image/ab67616d0000b2734123c0f9b6689205d20f350f","1","2","114460","https://p.scdn.co/mp3-preview/c2daaf55e5a1726da4b2d191108c6089fb59a7d4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:brenmiester","2020-09-10T12:26:10Z"
"spotify:track:42dtq3bqOCzD0L2kITk4Dp","DDLG","spotify:artist:2u1aL8XADqj0nJFHMKRjNw","ppcocaine","spotify:album:6qU9xvbrzALQ3EMq2jGEgQ","DDLG","spotify:artist:2u1aL8XADqj0nJFHMKRjNw","ppcocaine","2020-06-26","https://i.scdn.co/image/ab67616d0000b273b3781f16f967b439a44334c0","1","1","155004","https://p.scdn.co/mp3-preview/99c17dd82c0d919c6f4fb1f191b5856e3f168d9d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:brenmiester","2020-09-10T12:27:27Z"
"spotify:track:5FXn5JHL50tDPMITGun9zh","Girls In Bikinis","spotify:artist:5mlbvTfWUOfDrUIK6dkNzv","Poppy","spotify:album:5QCXxPUwoOtxeZQmve6w2u","Am I A Girl?","spotify:artist:5mlbvTfWUOfDrUIK6dkNzv","Poppy","2018-10-31","https://i.scdn.co/image/ab67616d0000b273148e78020adb43391ac529e9","1","9","145272","https://p.scdn.co/mp3-preview/042f813397aa81be5844a9d030a26ffe90355a87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2021-03-07T22:33:01Z"
