"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3nlGByvetDcS1uomAoiBmy","The Number of the Beast - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:5S3gls8Kjn8KVmqlIDEBbO","The Number of the Beast (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322","1","5","290586","https://p.scdn.co/mp3-preview/189e207d159de7a3aa21ab0a8fc0e52364452535?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:brenmiester","2020-08-24T14:41:02Z"
"spotify:track:4Zc7TCHzuNwL0AFBlyLdyr","Run to the Hills - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:5S3gls8Kjn8KVmqlIDEBbO","The Number of the Beast (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b2735c29a88ba5341ca428f0c322","1","6","233506","https://p.scdn.co/mp3-preview/66a6b7102df35ce9e83d29f8f5092ad529eaa14e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:brenmiester","2020-08-24T14:41:02Z"
"spotify:track:4OROzZUy6gOWN4UGQVaZMF","The Trooper - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:7I9Wh2IgvI3Nnr8Z1ZSWby","Piece of Mind (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1983","https://i.scdn.co/image/ab67616d0000b2732277d1a849a63c7075ec38ff","1","5","252733","https://p.scdn.co/mp3-preview/0a88f3e6d8e5dfe20807b9a4ee1cf1f30fa871d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:brenmiester","2020-08-24T14:41:50Z"
"spotify:track:2dXsILW8gzkosqleHAvl0v","For Whom The Bell Tolls - Remastered","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:05DePtm7oQMdL3Uzw2Jmsc","Ride The Lightning (Remastered)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1984-07-26","https://i.scdn.co/image/ab67616d0000b2739ad3e9959f48d513886b8933","1","3","309973","https://p.scdn.co/mp3-preview/ea69ce32a83cf99754c6e6a02b47321aef4e015b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:brenmiester","2020-08-24T14:41:59Z"
"spotify:track:1PhLYngBKbeDtdmDzCg3Pb","Sad But True","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Kh43m04B1UkVcpcRa1Zug","Metallica","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1991-08-12","https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802","1","2","323933","https://p.scdn.co/mp3-preview/5dd63f2e72659842848107befd04f166caf71acd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:brenmiester","2020-08-24T14:41:59Z"
"spotify:track:6UB9mShVLbMm0W4e6vud4C","Battery","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Lq2qX3hYhiuPckC8Flj21","Master Of Puppets (Remastered)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1986-03-03","https://i.scdn.co/image/ab67616d0000b273668e3aca3167e6e569a9aa20","1","1","312360","https://p.scdn.co/mp3-preview/9dd3821d8354c5a7abd02f1e32bcbb0551b8a3e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:brenmiester","2020-08-24T14:41:59Z"
"spotify:track:6FUwPb4mGlUDbx42uspXaZ","Fuel","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:0Ip2GlQPoAIgdkqCO2YkMa","Reload","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1997-01-01","https://i.scdn.co/image/ab67616d0000b27306cb74d39d123ebe1b3c6631","1","1","269800","https://p.scdn.co/mp3-preview/6eefd2e01960b0ecf21c18437cdc3c7e2dee6409?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:brenmiester","2020-08-24T14:41:59Z"
"spotify:track:0ley5WMA07RsAouQ2KfbhD","Woman","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","spotify:album:747qcmgpdnnIG6lIBwNKhO","Wolfmother","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","2006-01-01","https://i.scdn.co/image/ab67616d0000b2733217cb59b28806950c7e1e25","1","3","176306","https://p.scdn.co/mp3-preview/a9c8d7e6509c78d661bb78859e89f837e075861a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:brenmiester","2020-08-24T14:41:59Z"
"spotify:track:2MuWTIM3b0YEAskbeeFE1i","Master Of Puppets","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Lq2qX3hYhiuPckC8Flj21","Master Of Puppets (Remastered)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1986-03-03","https://i.scdn.co/image/ab67616d0000b273668e3aca3167e6e569a9aa20","1","2","515386","https://p.scdn.co/mp3-preview/070b147d7710598fb96360f94b1adb0709fce235?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:brenmiester","2020-08-24T14:42:08Z"
"spotify:track:5sICkBXVmaCQk5aISGR3x1","Enter Sandman","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:2Kh43m04B1UkVcpcRa1Zug","Metallica","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1991-08-12","https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802","1","1","331266","https://p.scdn.co/mp3-preview/6993c456b1c3c9dddca474c34da013e2a264b8be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:brenmiester","2020-08-24T14:42:08Z"
