"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:68UU9oaQtMDnh6PRlW842H","I Like Him","spotify:artist:6lay1nwbE6hTx1jivysUAL","Princess Nokia","spotify:album:6JP1xbkFnacGAvrIWW5pzF","Everything Sucks","spotify:artist:6lay1nwbE6hTx1jivysUAL","Princess Nokia","2020-02-26","https://i.scdn.co/image/ab67616d0000b273f830902bc6e8ee64d4140ca3","1","6","132453","https://p.scdn.co/mp3-preview/21fe55b438ca9dc0fbebf32dcff2b4c164be6305?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-06-19T14:55:39Z"
"spotify:track:6qNB2ChCVPepl5ZjVJJTUW","STUPID (feat. Yung Baby Tate)","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP, spotify:artist:3IJ21966TwNZI24MwZHMu4","Ashnikko, Baby Tate","spotify:album:5eKuModdAdZRmc51241r4D","Hi, It's Me","spotify:artist:3PyJHH2wyfQK3WZrk9rpmP","Ashnikko","2019-07-12","https://i.scdn.co/image/ab67616d0000b2734d165570efefd46cfad3eb36","1","3","167317","https://p.scdn.co/mp3-preview/61b13f60bba8b0c04cce0cb5e34a3c9e06482610?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-06-21T00:19:57Z"
"spotify:track:78qd8dvwea0Gosb6Fe6j3k","Boss Bitch","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:4pmyFpGicLLIgNPc1TQXKc","Boss Bitch","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2020-01-23","https://i.scdn.co/image/ab67616d0000b27310356a0e81371e6644cb1371","1","1","134239","https://p.scdn.co/mp3-preview/42847ffa3c83fcfce624d09a8d3d39a15d53e199?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-06-27T04:22:57Z"
"spotify:track:1VJwtWR6z7SpZRwipI12be","Candy","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:54tInqO543zy0Y5F2VsUQI","Amala","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2018-03-30","https://i.scdn.co/image/ab67616d0000b273c42f6b7b41537a5fae06840a","1","8","190920","https://p.scdn.co/mp3-preview/b8ec099e8d5570410ec45e21af21147ff5e84dcf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-07-03T09:28:35Z"
"spotify:track:1ghvzmzpx2nnrbx7wtpMgo","Cyber Sex","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:1MmVkhiwTH0BkNOU3nw5d3","Hot Pink","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2019-11-07","https://i.scdn.co/image/ab67616d0000b27382b243023b937fd579a35533","1","1","165733","https://p.scdn.co/mp3-preview/ed35ca89fd3494e6afc8cec8aeb055042fc886f2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-07-03T09:28:46Z"
"spotify:track:1uNePI826aqh9uC9pgbeHU","Tia Tamera (feat. Rico Nasty)","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5, spotify:artist:2OaHYHb2XcFPvqL3VsyPzU","Doja Cat, Rico Nasty","spotify:album:3wOMqxNHgkga91RBC7BaZU","Amala (Deluxe Version)","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","2019-03-01","https://i.scdn.co/image/ab67616d0000b27305d15f02b484a462368cce63","1","15","211013","https://p.scdn.co/mp3-preview/d475f2f6b029ecf8e327271c01e6c9bd7bb38d3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-07-03T09:29:09Z"
"spotify:track:1nrsFfACPG4Hnw5AuOpCND","Smack a Bitch","spotify:artist:2OaHYHb2XcFPvqL3VsyPzU","Rico Nasty","spotify:album:3Ja54bCouLvrDLt3XKzMii","Smack a Bitch","spotify:artist:2OaHYHb2XcFPvqL3VsyPzU","Rico Nasty","2018-01-17","https://i.scdn.co/image/ab67616d0000b2730c0673f159e8b4da4eb13c36","1","1","138352","https://p.scdn.co/mp3-preview/13320b9b3af8c3dfde55776efa02380e15690b3f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-07-03T09:29:20Z"
"spotify:track:19Fcrc0nJiwMKom00gS9SW","Good Form","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:2acDkDTWdNFie1HjcFa4Ny","Queen","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2018-08-10","https://i.scdn.co/image/ab67616d0000b273540ab7c149079184e8724dc4","1","12","199400","https://p.scdn.co/mp3-preview/4df78c2f58173283286af386ec6c739553750bc0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-07-03T09:29:25Z"
"spotify:track:6nBQFAIVFmAx2oZ8p6lUg6","Tempo (feat. Missy Elliott)","spotify:artist:56oDRnqbIiwx4mymNEv7dS, spotify:artist:2wIVse2owClT7go1WT98tk","Lizzo, Missy Elliott","spotify:album:6dFFcYQ8VhifgdKgYY5LYL","Cuz I Love You","spotify:artist:56oDRnqbIiwx4mymNEv7dS","Lizzo","2019-04-19","https://i.scdn.co/image/ab67616d0000b27306af802e2ea241b6ba1ce0f2","1","7","175342","https://p.scdn.co/mp3-preview/e75e1519123e780dff439d0eea7de584e0fd0cb1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-07-03T09:29:33Z"
"spotify:track:2qsQ8eVDPmobZpvDxQCVQu","Barbie Tingz","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:0cjXPqSbbBhwSJiqkoyviO","Barbie Tingz","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2018-04-12","https://i.scdn.co/image/ab67616d0000b2735ac68ae61a5516c9cfdb76a8","1","1","191699","https://p.scdn.co/mp3-preview/6a8c2b13d98b5ef41d8e5c2103c423f812710ff1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","spotify:user:5o3kqv62w69wuo0d706fss7qr","2020-07-03T09:29:52Z"
