Track Name,Artist Name(s)
Endless,Fox Stevenson
Friends Again,"LVTHER, Claire Ridgely"
About U,"Aiobahn, Vin"
This Love (feat. Savoi),"LVTHER, Savoi"
In Your Arms,"Aiobahn, Ralph Larenzo"
Canvas,Rezonate
Some Kind of Magic (feat. MYZICA),"LVTHER, Myzica"
Where I'll Be Waiting (feat. Cozi Zuehlsdorff),"Rich Edwards, Cozi Zuehlsdorff"
Love Back on (feat. Emelie Cyréus),"Summer Was Fun, Emelie Cyréus"
Otter Pop,"Shawn Wasabi, Hollis"
Are We Flirting,Abbe May
Are We Still Young (feat. Jessi Mason),"Grant, Jessi Mason"
Pay No Mind (feat. Passion Pit),"Madeon, Passion Pit"
One Look (feat. Mammals),"LVTHER, Mammals"
We Are the Dream (TheFatRat Remix),"Sound Remedy, Carousel"
Juliet,"CloudNone, Matt Van"
Tear in My Heart,Twenty One Pilots
Wishes,"Grant, McCall"
bad idea!,girl in red
Nuestra Canción,"Monsieur Periné, Vicente Garcia"
