"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3BN6vz8hlGuY2xkwu8WFZV","Endless","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","spotify:album:2r32oPp9tqWAXRotRjMnwR","Endless","spotify:artist:2BQWHuvxG4kMYnfghdaCIy","Fox Stevenson","2013-10-15","https://i.scdn.co/image/ab67616d0000b273789858164ba4b65f2d26c5c0","1","1","280002","https://p.scdn.co/mp3-preview/38e04db700e1cd031639bb7dbda0588d9027e0b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:brenmiester","2018-11-22T12:38:04Z"
"spotify:track:0jwmVLpRv1YPiX4QK7Mn8m","Friends Again","spotify:artist:4sGfNIfA14nKOKNi9NNQ12, spotify:artist:0OE65qjIKHqSyU7YWpOQrv","LVTHER, Claire Ridgely","spotify:album:5Pk3QLxMsbaj3vwxffAG3X","Monstercat Instinct Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-06-15","https://i.scdn.co/image/ab67616d0000b2730fffdb3f7e6f270697024759","1","23","196363","","false","0","spotify:user:brenmiester","2018-11-22T12:38:45Z"
"spotify:track:7CxcY2dpoGENycfAjkC2Hj","About U","spotify:artist:3AMFQZ3Tt549kShRG2IBYT, spotify:artist:2aDShFDjvKxrb7FKzUvkz6","Aiobahn, Vin","spotify:album:7qxaogGvgamZQp57y4nYF3","About U","spotify:artist:3AMFQZ3Tt549kShRG2IBYT, spotify:artist:2aDShFDjvKxrb7FKzUvkz6","Aiobahn, Vin","2018-05-25","https://i.scdn.co/image/ab67616d0000b2732392712a36649290e78ff376","1","1","175476","","false","0","spotify:user:brenmiester","2018-11-22T12:39:59Z"
"spotify:track:0GM9drSt55aAjGgKrR5Xpj","This Love (feat. Savoi)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12, spotify:artist:4dRRQxDsUXpBkGqjS7vNcO","LVTHER, Savoi","spotify:album:4YI3Z0HYptBTuPWHCoUlpz","This Love (feat. Savoi)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12","LVTHER","2018-02-16","https://i.scdn.co/image/ab67616d0000b2734816cf52ce93fed22cfb8d8f","1","1","181276","","false","0","spotify:user:brenmiester","2018-11-22T12:40:25Z"
"spotify:track:5ypWHAYnaYk9a9wnLnb6BZ","In Your Arms","spotify:artist:3AMFQZ3Tt549kShRG2IBYT, spotify:artist:4E4SekvxCHHEUU0nwxsdTG","Aiobahn, Ralph Larenzo","spotify:album:7ixGX8p4AJFNH7VsKMb2Xi","In Your Arms","spotify:artist:3AMFQZ3Tt549kShRG2IBYT","Aiobahn","2018-07-17","https://i.scdn.co/image/ab67616d0000b273c26b3d946ee14c1e988c1fb2","1","1","187500","","false","0","spotify:user:brenmiester","2018-11-22T12:40:39Z"
"spotify:track:7GZRH1sughcgD0QkQ6qRIu","Canvas","spotify:artist:7z2SH3eQbWeFdzQZcHQQ3O","Rezonate","spotify:album:4y9O4OZicB59UsyXbuboAg","Monstercat 016 - Expedition","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-02-26","https://i.scdn.co/image/ab67616d0000b273d804766e5d7204aa36503ac1","1","22","395581","","true","0","spotify:user:brenmiester","2018-11-22T12:41:28Z"
"spotify:track:5Znrd19f0HwIgOC9nPDkfK","Some Kind of Magic (feat. MYZICA)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12, spotify:artist:6mE4w8P7BX8CrhM1QmpYaC","LVTHER, Myzica","spotify:album:2Nz33iPNjFy6nRXpdDX65x","Monstercat 027 - Cataclysm","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-06-03","https://i.scdn.co/image/ab67616d0000b273215e8d219a4d1d556513adb2","1","14","194290","","false","0","spotify:user:brenmiester","2018-11-22T12:42:13Z"
"spotify:track:4eYTA2riRj3oDF9LpdoWLN","Where I'll Be Waiting (feat. Cozi Zuehlsdorff)","spotify:artist:79v9Al6rSVH9SFk0QzzOl1, spotify:artist:5wMfct6VVvaVQ8xGCXxIUa","Rich Edwards, Cozi Zuehlsdorff","spotify:album:6WmjKVfLZs6kOcMfF0nq5e","Where I'll Be Waiting (feat. Cozi Zuehlsdorff)","spotify:artist:79v9Al6rSVH9SFk0QzzOl1","Rich Edwards","2016-04-29","https://i.scdn.co/image/ab67616d0000b2737ee3c49fdd6db1b22644c9d9","1","1","193433","","false","0","spotify:user:brenmiester","2018-11-22T12:44:04Z"
"spotify:track:0NuZtgg8ZvqlwnJ9K6COeF","Love Back on (feat. Emelie Cyréus)","spotify:artist:13H2PbDHYtjo8v0R8HMAao, spotify:artist:0sbkGGlLYmgOzcxRqd257O","Summer Was Fun, Emelie Cyréus","spotify:album:5rAv4l6NxyHnRO0HqeRqeu","Love Back On (feat. Emelie Cyréus)","spotify:artist:13H2PbDHYtjo8v0R8HMAao","Summer Was Fun","2017-07-17","https://i.scdn.co/image/ab67616d0000b273581d8d59170c53b4eac7b07f","1","1","211267","","false","0","spotify:user:brenmiester","2018-11-22T12:44:35Z"
"spotify:track:3hGB6zmV7vI5jPAJxTW6Br","Otter Pop","spotify:artist:1DLKitfb8fshL0DtCecRpY, spotify:artist:28KOnhhvUnyvgRNXEQ41WL","Shawn Wasabi, Hollis","spotify:album:0oGSlOzUcZnHISZqHwkjhf","Otter Pop","spotify:artist:1DLKitfb8fshL0DtCecRpY","Shawn Wasabi","2017-07-13","https://i.scdn.co/image/ab67616d0000b2734003cfe4b71dce84f92844b2","1","1","167741","https://p.scdn.co/mp3-preview/8a988e142c26d65e83fd5e43d470012ba5bf097d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:brenmiester","2018-11-22T12:44:57Z"
"spotify:track:6rppwKnmWkdXOdeyS9LCB7","Are We Flirting","spotify:artist:1FyulP4HDEpJ1YjAz9xxmY","Abbe May","spotify:album:1MAquiD2V9PBRpyqj8bPwx","Fruit","spotify:artist:1FyulP4HDEpJ1YjAz9xxmY","Abbe May","2018-02-02","https://i.scdn.co/image/ab67616d0000b27338ddbb0914579ac2d9adb1d7","1","9","183395","https://p.scdn.co/mp3-preview/52448b3cc220b245cdb7bf9e23fc730710958075?cid=9950ac751e34487dbbe027c4fd7f8e99","true","6","spotify:user:brenmiester","2018-12-28T12:14:19Z"
"spotify:track:63K5mPZcOvL2nRUcONJgks","Are We Still Young (feat. Jessi Mason)","spotify:artist:2Hchwjfl1DioXcIwbOJkus, spotify:artist:5gJfcr0UWAk7lLNgiGhbZg","Grant, Jessi Mason","spotify:album:36QzfnYcqwGL4wWiWAYsEP","Are We Still Young (feat. Jessi Mason)","spotify:artist:2Hchwjfl1DioXcIwbOJkus","Grant","2017-05-26","https://i.scdn.co/image/ab67616d0000b273ee5391ae5d1fa8f67877bc59","1","1","216017","","false","0","spotify:user:brenmiester","2019-01-02T09:34:41Z"
"spotify:track:3rsq3qtqNBId48c0IVraTS","Pay No Mind (feat. Passion Pit)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Madeon, Passion Pit","spotify:album:3uKLwDjku2Us0c81LEmftR","Adventure (Deluxe)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2015-03-30","https://i.scdn.co/image/ab67616d0000b27392cb28b37837c67dffe602f9","1","5","249440","https://p.scdn.co/mp3-preview/2dc2728cf493349ccc2d9a40da026f953b7b2938?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:brenmiester","2019-02-03T10:27:38Z"
"spotify:track:0yNwiO2VD2vakcfHZ1NI33","One Look (feat. Mammals)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12, spotify:artist:2uFH2L4YKTo0fFZT67bkx3","LVTHER, Mammals","spotify:album:04fdnFjmz04JjIL6LDk1KH","One Look (feat. Mammals)","spotify:artist:4sGfNIfA14nKOKNi9NNQ12","LVTHER","2014-10-29","https://i.scdn.co/image/ab67616d0000b273573977b5073baf9367bf1200","1","1","236564","","false","0","spotify:user:brenmiester","2019-02-03T06:21:03Z"
"spotify:track:3wDIWPDD1320EUg60FeUOs","We Are the Dream (TheFatRat Remix)","spotify:artist:1UtzKaSQyctQO8GN8EyzOn, spotify:artist:0oYWECmtozBZGjnklDFPTH","Sound Remedy, Carousel","spotify:album:1ZsCLGpAhx04eIAGrgWbAJ","We Are the Dream the Remixes","spotify:artist:1UtzKaSQyctQO8GN8EyzOn, spotify:artist:0oYWECmtozBZGjnklDFPTH","Sound Remedy, Carousel","2014","https://i.scdn.co/image/ab67616d0000b273f74e4c5c64f3c9389c55e85d","1","3","242526","https://p.scdn.co/mp3-preview/4ac0216dc561dba9f0d03bfca85a7a3d8670459a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:brenmiester","2019-02-04T02:07:28Z"
"spotify:track:64YccwJHPzVcEhQJTRkofX","Juliet","spotify:artist:49vNfTzZU1nXv2xO34z5RY, spotify:artist:6pw4nmjxQHpyKWUBQi4SSz","CloudNone, Matt Van","spotify:album:7zG41ZT7fCLWXVeDe9C2HC","Midnight Underground","spotify:artist:49vNfTzZU1nXv2xO34z5RY","CloudNone","2019-02-26","https://i.scdn.co/image/ab67616d0000b27316fff3ff162e5ef90e2279c3","1","5","236250","https://p.scdn.co/mp3-preview/bf226da3dd0ecb26c0be0836b61ca903c851da15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:brenmiester","2019-03-11T00:24:54Z"
"spotify:track:3bnVBN67NBEzedqQuWrpP4","Tear in My Heart","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b273de03bfc2991fd5bcfde65ba3","1","5","188493","https://p.scdn.co/mp3-preview/46c19d324587898577a1974b8bdc2d5db88a5c65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:brenmiester","2019-04-14T08:47:09Z"
"spotify:track:4H1FdAyWZBNzwcHFQYeGy6","Wishes","spotify:artist:2Hchwjfl1DioXcIwbOJkus, spotify:artist:229NvsczXKwdH0DkPg4uwT","Grant, McCall","spotify:album:0y58xcvf2s44yo7ETPyfpa","Wishes","spotify:artist:2Hchwjfl1DioXcIwbOJkus","Grant","2019-03-22","https://i.scdn.co/image/ab67616d0000b27391eb00420ade4e9d2a2d27b5","1","1","241350","https://p.scdn.co/mp3-preview/d72fe67e4f801f704d0f7ceb7e3b36480aa44ff2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:brenmiester","2019-05-15T07:08:03Z"
"spotify:track:1M4Ud66z18wuIq3oOxqVHa","bad idea!","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","spotify:album:6riOnMD3YhF8kGpAXpxbdj","bad idea!","spotify:artist:3uwAm6vQy7kWPS2bciKWx9","girl in red","2019-09-03","https://i.scdn.co/image/ab67616d0000b2736df69c88384e709e2be7cd16","1","1","219638","https://p.scdn.co/mp3-preview/f99f14ed1250bae0111186e3edd5086efb4c122f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:brenmiester","2021-11-03T08:25:19Z"
"spotify:track:5reQI13tWWYDLMrGcUF4Mk","Nuestra Canción","spotify:artist:36KsCCwgI0Dep97yVJWmkK, spotify:artist:2Otnykd696YidQYfEGVmNq","Monsieur Periné, Vicente Garcia","spotify:album:4XSLqHHDwqAnjwoMTtx7jC","Caja de Música","spotify:artist:36KsCCwgI0Dep97yVJWmkK","Monsieur Periné","2015-06-16","https://i.scdn.co/image/ab67616d0000b27330f67e1ad584dc2863d4958b","1","1","260079","https://p.scdn.co/mp3-preview/b3bef95eeef64fb9e0c7ccaf97ddcd57a9bb8f7a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:brenmiester","2021-11-03T21:49:53Z"
