Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Cracker	Spiderbait		Grand Slam							2983216	186			1			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\sNDh0aIdZPE
Glockenpop	Spiderbait		Grand Slam							3075588	199			2			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\MC_axjAEPlg
Shazam!	Spiderbait		Grand Slam							1924526	123			3			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\SZQ9Havyp-M
Dinner Time	Spiderbait		Grand Slam							2100908	131			4			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\COlAWvown6o
Plastic	Spiderbait		Grand Slam							2428584	151			5			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\TkFF_Mc212Q
Daisy May	Spiderbait		Grand Slam							1896942	118			7			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\UfXnR3zvW4k
White Trash Superstar	Spiderbait		Grand Slam							3321359	207			8			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\8LO3r8zWOQo
Stevie	Spiderbait		Grand Slam							2893354	180			11			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\BsQtlvBUq0A
Jellybean Drifter	Spiderbait		Grand Slam							2653874	165			12			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\OCTg-3TBhig
King Of The Northern	Spiderbait		Grand Slam							2128921	132			13			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\7mrVMzcQ39c
Lickety Split	Spiderbait		Grand Slam							2655124	165			16			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\eZjbrSIgu4M
Henrietta	The Fratellis		Costello Music							3387810	212			1			44505	44505	128	44100		MPEG audio file								\alt-rock_to_to\v-gTGXlbRWM
