Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Money Maker (feat. LunchMoney Lewis & Aston Merrygold)	Throttle, Aston Merrygold , LunchMoney Lewis		Money Maker (feat. LunchMoney Lewis & Aston Merrygold)							0	161			1			44505	44505	128	44100		MPEG audio file								\big_boy\wZ0KI_ESDrw
Airglow	Laszlo		Monstercat - Best of 2016							3818728	238			22			44505	44505	128	44100		MPEG audio file								\big_boy\y3efqiD0EME
On My Way Up	Conro		Monstercat - Best of 2016							3144564	196			17			44505	44505	128	44100		MPEG audio file								\big_boy\UQtcXzIXEIo
I Hear You	Vicetone		I Hear You							2592425	158			1			44505	44505	128	44100		MPEG audio file								\big_boy\S3sMVliQsFY
Gravity	Laszlo		Gravity							3411617	213			1			44505	44505	128	44100		MPEG audio file								\big_boy\DzJXOb7Q1_s
Shapes & Shifts	Eminence		Universe EP							3250717	270			3			44505	44505	128	44100		MPEG audio file								\big_boy\WTeqUejf3D0
Bruises	Fox Stevenson		Bruises (Destinations)							3534519	220			1			44505	44505	128	44100		MPEG audio file								\big_boy\sFCpqrMMQGM
Fault (feat. McCall)	MYRNE, Grant, McCall		Fault (feat. McCall)							4234201	264			1			44505	44505	128	44100		MPEG audio file								\big_boy\y91hSD1csl4
Get Lemon	Disciple		Disciple Alliance Vol. 4							3865542	231			1			44505	44505	128	44100		MPEG audio file								\big_boy\yyrr5ZSh7Rk
5 Star Life	Andrew Huang		Pintxos							3363980	210			12			44505	44505	128	44100		MPEG audio file								\big_boy\G-PPu5quZP8
Purple People Eater	Pegboard Nerds		Purple People Eater							4197831	262			1			44505	44505	128	44100		MPEG audio file								\big_boy\AKkKeNtYMTo
500	BRAINCOATS		Hopeless Arguments							1736866	108			3			44505	44505	128	44100		MPEG audio file								\big_boy\aFLDhd7nIKA
Highroyds	Kaiser Chiefs		Yours Truly, Angry Mob							3182182	198			4			44505	44505	128	44100		MPEG audio file								\big_boy\m2mGixWeNis
Girls / Girls / Boys	Panic! At The Disco		Too Weird to Live, Too Rare to Die!							3362770	206			6			44505	44505	128	44100		MPEG audio file								\big_boy\ZNnYu6PbHrc
Say Amen (Saturday Night)	Panic! At The Disco		Pray for the Wicked							3028810	189			2			44505	44505	128	44100		MPEG audio file								\big_boy\KZ2iVfpvpyo
Starship	Grant		Starship							3410783	213			1			44505	44505	128	44100		MPEG audio file								\big_boy\gglhMDQdFms
What Are You Waiting For	Stonebank		What Are You Waiting For							4097107	255			1			44505	44505	128	44100		MPEG audio file								\big_boy\n2qgc8vF8sU
New Horizons	Protostar		New Horizons							3093981	193			1			44505	44505	128	44100		MPEG audio file								\big_boy\bJK1P1OVQ8Y
Shiawase	Dion Timmer		Shiawase							2909655	217			1			44505	44505	128	44100		MPEG audio file								\big_boy\suisIF4hwyw
Silhouette	Bad Computer, Skyelle		Silhouette							4232092	264			1			44505	44505	128	44100		MPEG audio file								\big_boy\GMb02tAqDRM
Here It Goes Again	OK Go		Oh No							2976948	179			3			44505	44505	128	44100		MPEG audio file								\big_boy\dTAAsCNK7RA
The Writing's on the Wall	OK Go		Hungry Ghosts							4145995	214			2			44505	44505	128	44100		MPEG audio file								\big_boy\oL3qDpubXU8
