Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Isometric (Intro)	Madeon		Adventure (Deluxe)							1294257	80			1			44505	44505	128	44100		MPEG audio file								\chill_edm\rO1bZdtto7I
You're On (feat. Kyan)	Madeon, Kyan		Adventure (Deluxe)							3138722	192			2			44505	44505	128	44100		MPEG audio file								\chill_edm\xp0NOjZlNlo
OK	Madeon		Adventure (Deluxe)							2913416	181			3			44505	44505	128	44100		MPEG audio file								\chill_edm\PgDMeLEqvYY
La Lune (feat. Dan Smith)	Madeon, Dan Smith		Adventure (Deluxe)							3522835	219			4			44505	44505	128	44100		MPEG audio file								\chill_edm\Lg9ynbR8CQI
Pay No Mind (feat. Passion Pit)	Madeon, Passion Pit		Adventure (Deluxe)							3986777	249			5			44505	44505	128	44100		MPEG audio file								\chill_edm\BC_Ya4cY8RQ
Beings	Madeon		Adventure (Deluxe)							3453423	215			6			44505	44505	128	44100		MPEG audio file								\chill_edm\tAhT6kFWkAo
Imperium	Madeon		Adventure (Deluxe)							3217696	198			7			44505	44505	128	44100		MPEG audio file								\chill_edm\ng4291cptOk
Zephyr	Madeon		Adventure (Deluxe)							3516117	220			8			44505	44505	128	44100		MPEG audio file								\chill_edm\2HZNUMyzhA8
Nonsense (feat. Mark Foster)	Madeon, Mark Foster		Adventure (Deluxe)							3618552	225			9			44505	44505	128	44100		MPEG audio file								\chill_edm\5e1DBLXnjeQ
Innocence (feat. Aquilo)	Madeon, Aquilo		Adventure (Deluxe)							3594302	224			10			44505	44505	128	44100		MPEG audio file								\chill_edm\lz10F2Rtqv8
Pixel Empire	Madeon		Adventure (Deluxe)							3922380	244			11			44505	44505	128	44100		MPEG audio file								\chill_edm\nMwLbAZMdV4
Home	Madeon		Adventure (Deluxe)							3562509	225			12			44505	44505	128	44100		MPEG audio file								\chill_edm\Cxq3GIxlv20
