Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Sparky (Original)	Luanmer		Sunrise							2558574	148			5			44505	44505	128	44100		MPEG audio file								\future_funk\HqyHLeHMOVo
Dizzy Dream	Rhodes Rodosu		Dizzy Dream							2735374	170			1			44505	44505	128	44100		MPEG audio file								\future_funk\SynmxRJQRfU
Positive	Shiruetto		Positive							3481840	217			1			44505	44505	128	44100		MPEG audio file								\future_funk\YemGDP-3PgM
Work	BarbWalters		Work							3221863	201			1			44505	44505	128	44100		MPEG audio file								\future_funk\9GcqLYt9xb4
High Roller	Remlarr		High Roller							3154582	197			1			44505	44505	128	44100		MPEG audio file								\future_funk\sF-u2ZZFooM
Wonka Street	Iden Kai		Wonka Street							3748922	234			1			44505	44505	128	44100		MPEG audio file								\future_funk\MW54S9IvT8g
Fuel injection	Cape Coral		TELESEX555							2180742	136			1			44505	44505	128	44100		MPEG audio file								\future_funk\MrY6Uend6l0
Mizuiro no Ame (Night Tempo Showa Groove Mix)	Night Tempo, Junko Yagami		Night Tempo present							3842184	240			2			44505	44505	128	44100		MPEG audio file								\future_funk\d1OoZchilLY
TIMERIDER 1983	Adrianwave		TIMERIDER 1983							3020008	188			3			44505	44505	128	44100		MPEG audio file								\future_funk\m_mzCQe4Ga8
Fun Tonight	Macross 82-99		CHAM!							2601204	162			13			44505	44505	128	44100		MPEG audio file								\future_funk\IgQEefhmPXI
Glimmer	AGST		Glimmer / Change							3443807	215			1			44505	44505	128	44100		MPEG audio file								\future_funk\d6SQb0WTrlA
You Know It's True	CHANCE		Just Have Fun							4552663	284			2			44505	44505	128	44100		MPEG audio file								\future_funk\VVPag_IzI-Q
Gotta Go Crazy	acidente		Barbershop Weekend							3073926	192			6			44505	44505	128	44100		MPEG audio file								\future_funk\fIOVy8ZWIqk
Hoeing Mood	Jesse Cassettes		Miss Cassettes, Vol. 1 (+Bonus Tracks)							3631926	226			1			44505	44505	128	44100		MPEG audio file								\future_funk\FCdAsNXcFl0
SNS	Tsundere Alley, yuca		SNS							2553553	159			1			44505	44505	128	44100		MPEG audio file								\future_funk\BEwqALmTYtU
Get Up	Bionsen		Do It Again EP							3779011	236			1			44505	44505	128	44100		MPEG audio file								\future_funk\jXNNaFCaLYA
Paradise City	Pop Up!		Flavored							3034208	189			5			44505	44505	128	44100		MPEG audio file								\future_funk\xATTkS5Lwb0
Ganbare	TANUKI		Kanji Title							17695794	183			1			44505	44505	128	44100		MPEG audio file								\future_funk\HsCRVPM2ogM
