Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Cracker	Spiderbait									2983216	93			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/01 Cracker.mp3
Glockenpop	Spiderbait									3075588	100			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/02 Glockenpop.mp3
Shazam!	Spiderbait									1924526	62			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/03 Shazam!.mp3
Dinner Time	Spiderbait									2100908	66			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/04 Dinner Time.mp3
Plastic	Spiderbait									2428584	76			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/05 Plastic.mp3
Daisy May	Spiderbait									1896942	59			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/07 Daisy May.mp3
White Trash Superstar	Spiderbait									3321359	104			8			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/08 White Trash Superstar.mp3
Stevie	Spiderbait									2893354	90			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/11 Stevie.mp3
Jellybean Drifter	Spiderbait									2653874	82			12			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/12 Jellybean Drifter.mp3
King Of The Northern	Spiderbait									2128921	66			13			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/13 King Of The Northern.mp3
Lickety Split	Spiderbait									2655124	82			16			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/16 Lickety Split.mp3
Henrietta	The Fratellis									3387810	106			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/01 Henrietta.mp3
Chelsea Dagger	The Fratellis									3261591	108			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/05 Chelsea Dagger.mp3
For The Girl	The Fratellis									2695254	84			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/06 For The Girl.mp3
Creepin Up The Backstairs - Composite Edit (do not put on a/w)	The Fratellis									2996235	94			8			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/08 Creepin Up The Backstairs - Composite Edit (do not put on a/w).mp3
Everybody Knows You Cried Last Night	The Fratellis									3752297	117			10			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/010 Everybody Knows You Cried Last Night.mp3
Baby Fratelli	The Fratellis									3789055	118			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/11 Baby Fratelli.mp3
Blue Orchid	The White Stripes									2522645	79			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Get Behind Me Satan/01 Blue Orchid.mp3
I Predict A Riot	Kaiser Chiefs									3732629	116			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Employment/02 I Predict A Riot.mp3
Everyday I Love You Less And Less	Kaiser Chiefs									3485214	108			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Employment/01 Everyday I Love You Less And Less.mp3
Never Miss A Beat	Kaiser Chiefs									3027125	93			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Off With Their Heads/02 Never Miss A Beat.mp3
Fell In Love With a Girl	The White Stripes									1779943	55			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/White Blood Cells/04 Fell In Love With a Girl.mp3
Woman	Wolfmother									2836511	88			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Wolfmother/Wolfmother/03 Woman.mp3
Joker And The Thief	Wolfmother									4149334	140			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Wolfmother/Wolfmother/06 Joker And The Thief.mp3
Rock'n'Roll Survivor	Wolfmother									3488966	108			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Wolfmother/Rock'n'roll Baby/02 Rock'n'Roll Survivor.mp3
Birdhouse in Your Soul	They Might Be Giants									3184275	99			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/02 Birdhouse in Your Soul.mp3
Your Racist Friend	They Might Be Giants									2808525	88			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/06 Your Racist Friend.mp3
I Bet You Look Good On The Dancefloor	Arctic Monkeys									2780575	86			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Arctic Monkeys/Whatever People Say I Am, That's What I'm Not/02 I Bet You Look Good On The Dancefloor.mp3
Let's Dance to Joy Division	The Wombats									2913482	96			8			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Wombats/Proudly Present... A Guide to Love, Loss & Desperation/08 Let's Dance to Joy Division.mp3
Calypso	Spiderbait									1955465	56			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Ivy & The Big Apples/05 Calypso.mp3
Somebody Told Me	The Killers									3202235	98			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Killers/Hot Fuss/04 Somebody Told Me.mp3
My Doorbell	The White Stripes									3871400	120			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Get Behind Me Satan/03 My Doorbell.mp3
The Hardest Button to Button	The White Stripes									3400783	106			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Elephant/09 The Hardest Button to Button.mp3
Icky Thump	The White Stripes									4074100	127			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Icky Thump/01 Icky Thump.mp3
Mr. Brightside	The Killers									3556662	111			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Killers/Hot Fuss/02 Mr. Brightside.mp3
Do I Wanna Know?	Arctic Monkeys									4376279	136			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Arctic Monkeys/AM/01 Do I Wanna Know?.mp3
Lazaretto	Jack White									3701271	110			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Jack White/Lazaretto/02 Lazaretto.mp3
That Black Bat Licorice	Jack White									3722601	115			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Jack White/Lazaretto/09 That Black Bat Licorice.mp3
Verbatim	Mother Mother									2695662	84			8			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Mother Mother/Touch Up/08 Verbatim.mp3
Savior	Rise Against									3879746	121			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Rise Against/Appeal To Reason/11 Savior.mp3
I'm Not Through	OK Go									3418736	108			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Hungry Ghosts/06 I'm Not Through.mp3
White Knuckles	OK Go									3454296	99			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Of The Blue Colour of the Sky Extra Nice Edition/06 White Knuckles.mp3
Na Na Na (Na Na Na Na Na Na Na Na Na)	My Chemical Romance									3301364	102			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/My Chemical Romance/Danger Days: The True Lives of the Fabulous Killjoys/02 Na Na Na (Na Na Na Na Na Na Na Na Na).mp3
Uma Thurman	Fall Out Boy									3391171	106			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Fall Out Boy/American Beauty/American Psycho/05 Uma Thurman.mp3
Don't Threaten Me with a Good Time	Panic! At The Disco									3588466	106			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Panic! At The Disco/Death of a Bachelor/02 Don't Threaten Me with a Good Time.mp3
Dear Maria, Count Me In	All Time Low									2926820	91			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/All Time Low/So Wrong, It's Right/06 Dear Maria, Count Me In.mp3
Check Yes, Juliet	We The Kings									3407459	110			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/We The Kings/We The Kings/03 Check Yes, Juliet.mp3
Misery Business	Paramore									3177986	106			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Paramore/Riot!/04 Misery Business.mp3
Run to the Hills - 2015 Remaster	Iron Maiden									3739359	116			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Iron Maiden/The Number of the Beast (2015 Remaster)/06 Run to the Hills - 2015 Remaster.mp3
The Number of the Beast - 2015 Remaster	Iron Maiden									4654279	145			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Iron Maiden/The Number of the Beast (2015 Remaster)/05 The Number of the Beast - 2015 Remaster.mp3
Brianstorm	Arctic Monkeys									2727447	86			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Arctic Monkeys/Favourite Worst Nightmare/01 Brianstorm.mp3
Hate To Say I Told You So	The Hives									3241957	100			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Hives/Veni Vidi Vicious/06 Hate To Say I Told You So.mp3
Flathead	The Fratellis									3250300	98			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/02 Flathead.mp3
A-Punk	Vampire Weekend									2207911	68			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Vampire Weekend/Vampire Weekend/03 A-Punk.mp3
Crappy Ghost	The Presidents Of The United States Of America									2345455	73			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Presidents Of The United States Of America/Kudos to You!/02 Crappy Ghost.mp3
Howlin' for You	The Black Keys									3073923	96			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Black Keys/Brothers/04 Howlin' for You.mp3
When The Sun Goes Down	Arctic Monkeys									3336864	101			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Arctic Monkeys/Whatever People Say I Am, That's What I'm Not/11 When The Sun Goes Down.mp3
Lunatic To Love	The Presidents Of The United States Of America									2841146	88			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Presidents Of The United States Of America/II/02 Lunatic To Love.mp3
Toob Amplifier	The Presidents Of The United States Of America									1311832	40			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Presidents Of The United States Of America/II/11 Toob Amplifier.mp3
