Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
404	Knife Party									4747839	149			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Knife Party/Abandon Ship/05 404.mp3
Flying Spaghetti Monster	Doctor P									3995130	124			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Doctor P/Animal Vegetable Mineral Pt. 1/02 Flying Spaghetti Monster.mp3
Bonfire	Knife Party									4355378	136			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Knife Party/Rage Valley/03 Bonfire.mp3
One Click Headshot	Feed Me									4595740	144			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Feed Me/Feed Me's Escape from Electric Mountain/03 One Click Headshot.mp3
Centipede	Knife Party									3937003	123			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Knife Party/Rage Valley/02 Centipede.mp3
Like A Bitch - Extended Mix	Zomboy									4233766	132			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Zomboy/Neon Grave/05 Like A Bitch - Extended Mix.mp3
Cracks - Flux Pavilion Remix	Freestylers, Belle Humble, Flux Pavilion									2047453	140			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Freestylers, Belle Humble, Flux Pavilion/Cracks/02 Cracks - Flux Pavilion Remix.mp3
Internet Friends	Knife Party									4819333	150			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Knife Party/100% No Modern Talking/01 Internet Friends.mp3
Make It Bun Dem	Skrillex, Damian Marley									3422099	106			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Skrillex, Damian Marley/Make It Bun Dem/01 Make It Bun Dem.mp3
Bullseye	KDrew									3978793	124			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/KDrew/Free, Vol. 4/01 Bullseye.mp3
Alien	Dodge & Fuski, Virtual Riot									2966926	92			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Dodge & Fuski, Virtual Riot/Alien/01 Alien.mp3
Rage Valley	Knife Party									4792568	150			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Knife Party/Rage Valley/01 Rage Valley.mp3
First of the Year (Equinox)	Skrillex									4187811	130			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Skrillex/More Monsters and Sprites EP/01 First of the Year (Equinox).mp3
Fire Hive	Knife Party									4462807	139			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Knife Party/100% No Modern Talking/04 Fire Hive.mp3
Thumbs Up	Kill The Noise, Feed Me									4367934	118			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kill The Noise, Feed Me/BLVCK MVGIC EP/05 Thumbs Up.mp3
Unison - Knife Party Remix	Porter Robinson, Knife Party									2467075	149			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Porter Robinson, Knife Party/Spitfire EP/07 Unison - Knife Party Remix.mp3
Bangarang (feat. Sirah)	Skrillex, Sirah									3462638	108			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Skrillex, Sirah/Bangarang EP/02 Bangarang (feat. Sirah).mp3
MOSHI	Pegboard Nerds, Tokyo Machine									3442983	107			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, Tokyo Machine/MOSHI/01 MOSHI.mp3
Rock 'n' Roll (Will Take You to the Mountain)	Skrillex									4615426	142			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Skrillex/Scary Monsters and Nice Sprites (Deluxe Tour Edition)/01 Rock 'n' Roll (Will Take You to the Mountain).mp3
