Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Money Maker (feat. LunchMoney Lewis & Aston Merrygold)	Throttle, Aston Merrygold , LunchMoney Lewis									0	80			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Throttle, Aston Merrygold , LunchMoney Lewis/Money Maker (feat. LunchMoney Lewis & Aston Merrygold)/01 Money Maker (feat. LunchMoney Lewis & Aston Merrygold).mp3
Airglow	Laszlo									3818728	119			22			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Laszlo/Monstercat - Best of 2016/22 Airglow.mp3
On My Way Up	Conro									3144564	98			17			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Conro/Monstercat - Best of 2016/17 On My Way Up.mp3
I Hear You	Vicetone									2592425	79			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Vicetone/I Hear You/01 I Hear You.mp3
Gravity	Laszlo									3411617	106			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Laszlo/Gravity/01 Gravity.mp3
Shapes & Shifts	Eminence									3250717	135			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Eminence/Universe EP/03 Shapes & Shifts.mp3
Bruises	Fox Stevenson									3534519	110			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Fox Stevenson/Bruises (Destinations)/01 Bruises.mp3
Fault (feat. McCall)	MYRNE, Grant, McCall									4234201	132			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/MYRNE, Grant, McCall/Fault (feat. McCall)/01 Fault (feat. McCall).mp3
Get Lemon	Disciple									3865542	116			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Disciple/Disciple Alliance Vol. 4/01 Get Lemon.mp3
5 Star Life	Andrew Huang									3363980	105			12			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Andrew Huang/Pintxos/12 5 Star Life.mp3
Purple People Eater	Pegboard Nerds									4197831	131			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds/Purple People Eater/01 Purple People Eater.mp3
500	BRAINCOATS									1736866	54			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/Hopeless Arguments/03 500.mp3
Highroyds	Kaiser Chiefs									3182182	99			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Yours Truly, Angry Mob/04 Highroyds.mp3
Girls / Girls / Boys	Panic! At The Disco									3362770	103			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Panic! At The Disco/Too Weird to Live, Too Rare to Die!/06 Girls / Girls / Boys.mp3
Say Amen (Saturday Night)	Panic! At The Disco									3028810	94			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Panic! At The Disco/Pray for the Wicked/02 Say Amen (Saturday Night).mp3
Starship	Grant									3410783	106			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Grant/Starship/01 Starship.mp3
What Are You Waiting For	Stonebank									4097107	128			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Stonebank/What Are You Waiting For/01 What Are You Waiting For.mp3
New Horizons	Protostar									3093981	96			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Protostar/New Horizons/01 New Horizons.mp3
Shiawase	Dion Timmer									2909655	108			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Dion Timmer/Shiawase/01 Shiawase.mp3
Silhouette	Bad Computer, Skyelle									4232092	132			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bad Computer, Skyelle/Silhouette/01 Silhouette.mp3
Here It Goes Again	OK Go									2976948	90			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Oh No/03 Here It Goes Again.mp3
The Writing's on the Wall	OK Go									4145995	107			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Hungry Ghosts/02 The Writing's on the Wall.mp3
