Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Sparky (Original)	Luanmer									2558574	74			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Luanmer/Sunrise/05 Sparky (Original).mp3
Dizzy Dream	Rhodes Rodosu									2735374	85			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Rhodes Rodosu/Dizzy Dream/01 Dizzy Dream.mp3
Positive	Shiruetto									3481840	108			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Shiruetto/Positive/01 Positive.mp3
Work	BarbWalters									3221863	100			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BarbWalters/Work/01 Work.mp3
High Roller	Remlarr									3154582	98			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Remlarr/High Roller/01 High Roller.mp3
Wonka Street	Iden Kai									3748922	117			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Iden Kai/Wonka Street/01 Wonka Street.mp3
Fuel injection	Cape Coral									2180742	68			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Cape Coral/TELESEX555/01 Fuel injection.mp3
Mizuiro no Ame (Night Tempo Showa Groove Mix)	Night Tempo, Junko Yagami									3842184	120			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Night Tempo, Junko Yagami/Night Tempo present/02 Mizuiro no Ame (Night Tempo Showa Groove Mix).mp3
TIMERIDER 1983	Adrianwave									3020008	94			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Adrianwave/TIMERIDER 1983/03 TIMERIDER 1983.mp3
Fun Tonight	Macross 82-99									2601204	81			13			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Macross 82-99/CHAM!/13 Fun Tonight.mp3
Glimmer	AGST									3443807	108			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/AGST/Glimmer / Change/01 Glimmer.mp3
You Know It's True	CHANCE									4552663	142			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/CHANCE/Just Have Fun/02 You Know It's True.mp3
Gotta Go Crazy	acidente									3073926	96			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/acidente/Barbershop Weekend/06 Gotta Go Crazy.mp3
Hoeing Mood	Jesse Cassettes									3631926	113			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Jesse Cassettes/Miss Cassettes, Vol. 1 (+Bonus Tracks)/01 Hoeing Mood.mp3
SNS	Tsundere Alley, yuca									2553553	80			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tsundere Alley, yuca/SNS/01 SNS.mp3
Get Up	Bionsen									3779011	118			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bionsen/Do It Again EP/01 Get Up.mp3
Paradise City	Pop Up!									3034208	94			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pop Up!/Flavored/05 Paradise City.mp3
Ganbare	TANUKI									17695794	92			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/TANUKI/Kanji Title/01 Ganbare.mp3
City Nightlife - Original Mix	architecture in tokyo, Macross 82-99									3457656	108			16			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/architecture in tokyo, Macross 82-99/Royal Club, Vol. 3/16 City Nightlife - Original Mix.mp3
WNTUMORE	Hatena									1985543	62			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hatena/Wntumore/01 WNTUMORE.mp3
CHERRY BLOSSOMS	Javi That's Me									2385547	74			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Javi That's Me/SOUL MATES/04 CHERRY BLOSSOMS.mp3
Plastic	Tendencies									3123658	98			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tendencies/Waterbed (Deluxe)/07 Plastic.mp3
Mode	ev.exi									3725085	116			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/ev.exi/Remember/03 Mode.mp3
Right on Time	Vantage									3354397	104			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Vantage/J-Funk City : Vantage's Edits Collection/02 Right on Time.mp3
