Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Taxi Cab	Twenty One Pilots									4573566	142.5			12			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Twenty One Pilots/Twenty One Pilots/12 Taxi Cab.mp3
Eat That Up, It's Good For You	Two Door Cinema Club									3584280	111.5			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History/09 Eat That Up, It's Good For You.mp3
Cigarettes In The Theatre	Two Door Cinema Club									3418345	106.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History/01 Cigarettes In The Theatre.mp3
You Are Not Stubborn	Two Door Cinema Club									3050536	95.0			10			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History/010 You Are Not Stubborn.mp3
Undercover Martyn	Two Door Cinema Club									2789308	83.0			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History/07 Undercover Martyn.mp3
What You Know	Two Door Cinema Club									3071009	94.5			8			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Tourist History/08 What You Know.mp3
Talk - Single Edit	Two Door Cinema Club									3465561	108.0			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Satellite/02 Talk - Single Edit.mp3
Tear in My Heart	Twenty One Pilots									3098171	94.0			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Twenty One Pilots/Blurryface/05 Tear in My Heart.mp3
Sun	Two Door Cinema Club									2991594	93.5			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Beacon (Deluxe Version)/04 Sun.mp3
Dirty Air	Two Door Cinema Club									3628556	121.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Two Door Cinema Club/Dirty Air/01 Dirty Air.mp3
