Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Never Miss A Beat	Kaiser Chiefs									3027125	93			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Off With Their Heads/02 Never Miss A Beat.mp3
Highroyds	Kaiser Chiefs									3182191	99			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Yours Truly, Angry Mob (Deluxe)/04 Highroyds.mp3
First Lie	Those Who Dream									3135776	113			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Those Who Dream/Luminary/04 First Lie.mp3
Hell of a Ride - Studio	Bo Burnham									4225820	132			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bo Burnham/what./05 Hell of a Ride - Studio.mp3
I'm Bo Yo	Bo Burnham									3765220	118			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bo Burnham/Bo Burnham/01 I'm Bo Yo.mp3
Afterskool Special	Afterskool Special feat. Jimmy Urine, Fake Shark Real Zombie, Jimmy Urine									3828398	119			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Afterskool Special feat. Jimmy Urine, Fake Shark Real Zombie, Jimmy Urine/LIAR/07 Afterskool Special.mp3
Tom's Dog (asdfmovie5 theme)	The Living Tombstone									2725802	85			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Living Tombstone/Tom's Dog (asdfmovie5 theme)/01 Tom's Dog (asdfmovie5 theme).mp3
Bigger Picture	Puppet, Foria									3174656	96			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Puppet, Foria/Bigger Picture/01 Bigger Picture.mp3
Saints of the Sinners	The Faim									2930158	91			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Faim/Saints of the Sinners/01 Saints of the Sinners.mp3
Chuffed (Dad Song)	Aunty Donna									2722430	82			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Aunty Donna/Chuffed (Dad Song)/01 Chuffed (Dad Song).mp3
Eff - Studio	Bo Burnham									2728679	85			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bo Burnham/what./02 Eff - Studio.mp3
Fuccboi Anthem	Aunty Donna									3229824	101			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Aunty Donna/Fuccboi Anthem/01 Fuccboi Anthem.mp3
Nerds - Studio	Bo Burnham									3302957	103			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Bo Burnham/what./03 Nerds - Studio.mp3
F*ck Your Mom	Cyndago									952777	30			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Cyndago/F*ck Your Mom/01 F*ck Your Mom.mp3
