Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Find That Someone	Televisor, Richard Judge									3228997	114.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Televisor, Richard Judge/Venture/01 Find That Someone.mp3
Peanut Butter Jelly	Galantis									3266183	101.5			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Galantis/Pharmacy/09 Peanut Butter Jelly.mp3
This Groove	Oliver Heldens, Lenno									3108620	94.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Oliver Heldens, Lenno/This Groove/01 This Groove.mp3
Break Loose	Televisor, SPLITBREED									3509857	109.5			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Televisor, SPLITBREED/Venture/03 Break Loose.mp3
Glide	Stephen Walking									3152070	98.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Stephen Walking/Glide/01 Glide.mp3
Odyssey (feat. Danyka Nadeau)	Televisor, Danyka Nadeau									2950230	126.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Televisor, Danyka Nadeau/Odyssey/01 Odyssey (feat. Danyka Nadeau).mp3
Little Too Close	WRLD, Veronika Redd									3919879	122.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/WRLD, Veronika Redd/Chase It/04 Little Too Close.mp3
Some Kind Of Magic	LVTHER, Myzica									3110717	97.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LVTHER, Myzica/Some Kind Of Magic/01 Some Kind Of Magic.mp3
Cut the Kid	Madeon									3201399	98.5			16			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madeon/Adventure (Deluxe)/16 Cut the Kid.mp3
Pay No Mind (feat. Passion Pit)	Madeon, Passion Pit									3986768	124.5			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madeon, Passion Pit/Adventure/05 Pay No Mind (feat. Passion Pit).mp3
Turbo Penguin	Nitro Fun, Sound Remedy									3382389	105.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Nitro Fun, Sound Remedy/Turbo Penguin/01 Turbo Penguin.mp3
Chase It	WRLD, Savoi									3599288	112.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/WRLD, Savoi/Chase It/01 Chase It.mp3
Adventures	Hyper Potions, Subtact									2783865	86.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hyper Potions, Subtact/Adventures/01 Adventures.mp3
Lady - Hear Me Tonight	Modjo									3583842	153.5			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Modjo/Modjo (Remastered)/03 Lady - Hear Me Tonight.mp3
One Look	LVTHER, Mammals									3787374	118.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LVTHER, Mammals/One Look/01 One Look.mp3
