Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Titans	Razihel, Aero Chord									3896461	125.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Razihel, Aero Chord/Titans/01 Titans.mp3
Vantablack	Dirtyphonics, Sullivan King									4488725	132.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Dirtyphonics, Sullivan King/Vantablack/01 Vantablack.mp3
Razor Sharp	Pegboard Nerds, Tristam									4505024	140.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, Tristam/Razor Sharp/01 Razor Sharp.mp3
We Are One	Flite									3702940	115.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Flite/We Are One/01 We Are One.mp3
Moving Hectic (feat. Harry Shotta)	Slippy, Harry Shotta									3647832	114.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Slippy, Harry Shotta/Moving Hectic (feat. Harry Shotta)/01 Moving Hectic (feat. Harry Shotta).mp3
Heist	Noisestorm									2915918	91.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Noisestorm/Heist/01 Heist.mp3
Surge (Drum & Bass Mix)	Noisestorm									8274591	124.5			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Noisestorm/Surge/02 Surge (Drum & Bass Mix).mp3
That Sound	Reach, Slippy									4034390	126.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Reach, Slippy/That Sound/01 That Sound.mp3
Chipland	nanobii									3047996	95.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/nanobii/Chipland/01 Chipland.mp3
Bring the Madness (feat. Mayor Apeshit)	Excision, Pegboard Nerds, Mayor Apeshit									3285073	102.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Excision, Pegboard Nerds, Mayor Apeshit/Bring the Madness (feat. Mayor Apeshit)/01 Bring the Madness (feat. Mayor Apeshit).mp3
Alien	Dodge & Fuski, Virtual Riot									2966926	92.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Dodge & Fuski, Virtual Riot/Alien/01 Alien.mp3
High Roller - Dodge & Fuski Remix	Pegboard Nerds, SPLITBREED									3092773	96.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, SPLITBREED/High Roller Remixes/01 High Roller - Dodge & Fuski Remix.mp3
Juices - Pegboard Nerds Remix	Virtual Riot, Dubloadz, Pegboard Nerds									3608967	112.5			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Virtual Riot, Dubloadz, Pegboard Nerds/Chemistry EP (The Remixes)/02 Juices - Pegboard Nerds Remix.mp3
Voodoo	Pegboard Nerds, Tony Junior									3591359	110.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, Tony Junior/Voodoo/01 Voodoo.mp3
Go Berzerk	Pegboard Nerds, Quiet Disorder									3328066	103.5			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, Quiet Disorder/Nerds by Nature - EP/04 Go Berzerk.mp3
BADBOI	Pegboard Nerds									3050925	95.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds/BADBOI/01 BADBOI.mp3
Us Against the World	Darren Styles									4339520	135.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Darren Styles/Us Against the World/01 Us Against the World.mp3
Move That Body	Pegboard Nerds, Quiet Disorder									3476857	108.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, Quiet Disorder/Move That Body/01 Move That Body.mp3
Move That Body (Soltan Remix)	Pegboard Nerds, Quiet Disorder, Soltan									3702175	115.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, Quiet Disorder, Soltan/Move That Body (Soltan Remix)/01 Move That Body (Soltan Remix).mp3
We Are One (feat. Splitbreed)	Pegboard Nerds, SPLITBREED									3392870	105.5			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, SPLITBREED/Monstercat 012 - Aftermath/03 We Are One (feat. Splitbreed).mp3
Drink Up	Tut Tut Child									3665328	115.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tut Tut Child/Drink Up/01 Drink Up.mp3
Breakdown VIP	Noisestorm									3751852	117.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Noisestorm/Breakdown VIP/01 Breakdown VIP.mp3
Fingerbang (VIP Mix)	MDK									3943285	122.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/MDK/Fingerbang (VIP Mix)/01 Fingerbang (VIP Mix).mp3
Maelstrom	Tut Tut Child									3819571	119.0			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tut Tut Child/Monstercat 007 - Solace/07 Maelstrom.mp3
Like A Bitch - Extended Mix	Zomboy									4233766	132.0			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Zomboy/Neon Grave/05 Like A Bitch - Extended Mix.mp3
Flight	Tristam, Braken									3512373	109.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tristam, Braken/Monstercat 012 - Aftermath/01 Flight.mp3
