Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Friends Again	LVTHER, Claire Ridgely									0	98			23			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LVTHER, Claire Ridgely/Monstercat Instinct Vol. 1/23 Friends Again.mp3
Hurts Just Right	BRAINCOATS									0	85			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/BRAINCOATS/Hurts Just Right/Can't Have You/01 Hurts Just Right.mp3
Fiji Water	Owl City									0	130			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Owl City/Cinematic/01 Fiji Water.mp3
White Knuckles	OK Go									0	99			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Of The Blue Colour of the Sky Extra Nice Edition/06 White Knuckles.mp3
Needing/Getting	OK Go									0	156			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Of The Blue Colour of the Sky Extra Nice Edition/04 Needing/Getting.mp3
Juliet	CloudNone, Matt Van									0	118			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/CloudNone, Matt Van/Midnight Underground/05 Juliet.mp3
Cosby Sweater	Hilltop Hoods									0	108			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hilltop Hoods/Walking Under Stars/03 Cosby Sweater.mp3
Devotion	Tristam									0	158			14			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tristam/Monstercat - Best of 2016/14 Devotion.mp3
Good Time	Owl City, Carly Rae Jepsen									0	102			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Owl City, Carly Rae Jepsen/The Midsummer Station/07 Good Time.mp3
"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version"	Owl City									0	109			1			44505	44505	128	44100		MPEG audio file								"Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Owl City/Wreck-It Ralph/01 When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version.mp3"
Shooting Star	Owl City									0	124			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Owl City/The Midsummer Station/02 Shooting Star.mp3
Another Set of Issues	OK Go									0	118			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Hungry Ghosts/03 Another Set of Issues.mp3
I'm Not Through	OK Go									0	108			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Hungry Ghosts/06 I'm Not Through.mp3
Woman	Wolfmother									0	88			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Wolfmother/Wolfmother/03 Woman.mp3
Some Kind of Magic (feat. MYZICA)	LVTHER, Myzica									0	97			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LVTHER, Myzica/Some Kind of Magic (feat. MYZICA)/01 Some Kind of Magic (feat. MYZICA).mp3
Questions	Tristam									0	125			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tristam/Questions/01 Questions.mp3
Fireflies	Owl City									0	114			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Owl City/Ocean Eyes/09 Fireflies.mp3
Pay No Mind (feat. Passion Pit)	Madeon, Passion Pit									0	124			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madeon, Passion Pit/Adventure (Deluxe)/05 Pay No Mind (feat. Passion Pit).mp3
Amsterdam	Nothing But Thieves									0	136			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Nothing But Thieves/Broken Machine (Deluxe)/02 Amsterdam.mp3
Old Friends	Half an Orange, Blonde Maze									0	100			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Half an Orange, Blonde Maze/Mostly We Grow Pt. 1/01 Old Friends.mp3
Hang Up	WRLD, Savoi									0	100			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/WRLD, Savoi/Hang Up/01 Hang Up.mp3
Time Well Spent	LVTHER, Ayelle									0	92			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LVTHER, Ayelle/Time Well Spent/01 Time Well Spent.mp3
Daggers	SLUMBERJACK, Machine Age									3700863	116			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/SLUMBERJACK, Machine Age/SARAWAK/01 Daggers.mp3
Automagic	Televisor									3665346	114			20			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Televisor/Monstercat - The Best of 2013/20 Automagic.mp3
