Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Baby Fratelli	The Fratellis									3789055	118			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/11 Baby Fratelli.mp3
For The Girl	The Fratellis									2695254	84			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/06 For The Girl.mp3
Chelsea Dagger	The Fratellis									3261604	102			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Chelsea Dagger (Radio Edit)/01 Chelsea Dagger.mp3
Creepin Up The Backstairs - Composite Edit (do not put on a/w)	The Fratellis									2996235	94			8			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/08 Creepin Up The Backstairs - Composite Edit (do not put on a/w).mp3
Henrietta	The Fratellis									3644019	106			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/01 Henrietta.mp3
Never Miss A Beat	Kaiser Chiefs									3027125	94			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Off With Their Heads/02 Never Miss A Beat.mp3
Everyday I Love You Less And Less	Kaiser Chiefs									3485238	110			8			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Souvenir : The Singles 2004 - 2012/08 Everyday I Love You Less And Less.mp3
Baggy Trousers	Madness									2699008	83			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madness/Absolutely/01 Baggy Trousers.mp3
Joker And The Thief	Wolfmother									4149334	140			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Wolfmother/Wolfmother/06 Joker And The Thief.mp3
Ace of Spades	Motorhead									2662669	83			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Motorhead/Ace of Spades (Expanded Edition)/01 Ace of Spades.mp3
Enter Sandman	Metallica									5306655	166			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Metallica/Metallica/01 Enter Sandman.mp3
Master Of Puppets	Metallica									8247859	258			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Metallica/Master Of Puppets (Remastered)/02 Master Of Puppets.mp3
Ruby	Kaiser Chiefs									3268694	102			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Yours Truly, Angry Mob/01 Ruby.mp3
I Predict A Riot	Kaiser Chiefs									3732629	116			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Employment/02 I Predict A Riot.mp3
Oh My God	Kaiser Chiefs									3439633	107			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Employment/06 Oh My God.mp3
Love's Not A Competition (But I'm Winning)	Kaiser Chiefs									3388278	98			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Yours Truly, Angry Mob (Deluxe)/05 Love's Not A Competition (But I'm Winning).mp3
Istanbul (Not Constantinople)	They Might Be Giants									6050228	76			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/04 Istanbul (Not Constantinople).mp3
