Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Ruby	Kaiser Chiefs									3268694	102.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Yours Truly, Angry Mob/01 Ruby.mp3
I Predict A Riot	Kaiser Chiefs									3732629	116.5			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Employment/02 I Predict A Riot.mp3
Everyday I Love You Less And Less	Kaiser Chiefs									3485214	108.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Employment/01 Everyday I Love You Less And Less.mp3
Never Miss A Beat	Kaiser Chiefs									3027125	93.0			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Off With Their Heads/02 Never Miss A Beat.mp3
Oh My God	Kaiser Chiefs									3439633	107.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Employment/06 Oh My God.mp3
Highroyds	Kaiser Chiefs									3182191	99.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Yours Truly, Angry Mob (Deluxe)/04 Highroyds.mp3
Love's Not A Competition (But I'm Winning)	Kaiser Chiefs									3388278	97.5			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Yours Truly, Angry Mob (Deluxe)/05 Love's Not A Competition (But I'm Winning).mp3
Na Na Na Na Naa	Kaiser Chiefs									2885007	90.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Employment/04 Na Na Na Na Naa.mp3
Istanbul (Not Constantinople)	They Might Be Giants									6050228	76.5			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/04 Istanbul (Not Constantinople).mp3
Your Racist Friend	They Might Be Giants									2808525	87.5			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/06 Your Racist Friend.mp3
Particle Man	They Might Be Giants									2040728	57.5			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/07 Particle Man.mp3
Letterbox	They Might Be Giants									1365721	42.5			13			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/13 Letterbox.mp3
Whistling in the Dark	They Might Be Giants									3283748	102.5			14			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/14 Whistling in the Dark.mp3
Hot Cha	They Might Be Giants									1519946	47.0			15			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/15 Hot Cha.mp3
Tribute	Tenacious D									3973782	124.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tenacious D/Tenacious D/03 Tribute.mp3
The Government Totally Sucks	Tenacious D									1514121	47.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tenacious D/The Pick Of Destiny/06 The Government Totally Sucks.mp3
The Hardest Button To Button	The White Stripes									3400783	106.0			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Elephant/09 The Hardest Button To Button.mp3
Blue Orchid	The White Stripes									2522645	79.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Get Behind Me Satan/01 Blue Orchid.mp3
Chelsea Dagger	The Fratellis									3261604	101.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Chelsea Dagger (Radio Edit)/01 Chelsea Dagger.mp3
For The Girl	The Fratellis									2695254	84.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/06 For The Girl.mp3
Baby Fratelli	The Fratellis									3789055	118.0			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/11 Baby Fratelli.mp3
Toob Amplifier	The Presidents Of The United States Of America									1311832	40.5			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Presidents Of The United States Of America/II/11 Toob Amplifier.mp3
Volcano	The Presidents Of The United States Of America									2878337	89.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Presidents Of The United States Of America/II/03 Volcano.mp3
Run to the Hills - 2015 Remaster	Iron Maiden									3739359	116.5			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Iron Maiden/The Number of the Beast (2015 Remaster)/06 Run to the Hills - 2015 Remaster.mp3
The Trooper - 2015 Remaster	Iron Maiden									4036095	126.0			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Iron Maiden/Piece of Mind (2015 Remaster)/05 The Trooper - 2015 Remaster.mp3
The Number of the Beast - 2015 Remaster	Iron Maiden									4654279	145.0			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Iron Maiden/The Number of the Beast (2015 Remaster)/05 The Number of the Beast - 2015 Remaster.mp3
