Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Over and Over and Over	Jack White									3508198	108.0			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Jack White/Boarding House Reach/07 Over and Over and Over.mp3
Limited World	Cory Wong, Caleb Hawley									4283120	132.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Cory Wong, Caleb Hawley/Motivational Music for the Syncopated Soul/01 Limited World.mp3
Fell In Love With a Girl	The White Stripes									1779943	55.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/White Blood Cells/04 Fell In Love With a Girl.mp3
Nuestra Canción	Monsieur Periné, Vicente Garcia									4127213	130.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Monsieur Periné, Vicente Garcia/Caja de Música/01 Nuestra Canción.mp3
cold weather	glass beach									2211687	69.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/glass beach/the first glass beach album/06 cold weather.mp3
St. Paul	Cory Wong									5092270	154.0			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Cory Wong/Motivational Music for the Syncopated Soul/02 St. Paul.mp3
Rhino	Sound Of Stereo									4444015	105.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Sound Of Stereo/Mixmag Presents Fatboy Slim: We Are 30/03 Rhino.mp3
We Don't Play	12th Planet, Bandlez, Barely Alive, Chibs, Dirtyphonics, Disciple, Dodge & Fuski, Eliminate, Fox Stevenson, Infekt, Modestep, MVRDA, Myro, Oliverse, PhaseOne, SampliFire, Terravita, Virus Syndicate, Virtual Riot									4837086	149.0			10			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/12th Planet, Bandlez, Barely Alive, Chibs, Dirtyphonics, Disciple, Dodge & Fuski, Eliminate, Fox Stevenson, Infekt, Modestep, MVRDA, Myro, Oliverse, PhaseOne, SampliFire, Terravita, Virus Syndicate, Virtual Riot/Disciple Alliance Vol. 5/010 We Don't Play.mp3
Waiting for the World to End	LOOK MUM NO COMPUTER									3611872	113.0			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LOOK MUM NO COMPUTER/These Songs Are Obsolete/05 Waiting for the World to End.mp3
bad idea!	girl in red									3524893	109.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/girl in red/bad idea!/01 bad idea!.mp3
Cosmic Sans	Cory Wong, Tom Misch									3476036	108.5			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Cory Wong, Tom Misch/Motivational Music for the Syncopated Soul/04 Cosmic Sans.mp3
Flathead	The Fratellis									3250300	98.5			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/02 Flathead.mp3
Where Yah From	Drapht									3705039	115.5			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Drapht/Brothers Grimm/11 Where Yah From.mp3
