Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Rapunzel	Drapht									3235250	101			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Drapht/The Life Of Riley/04 Rapunzel.mp3
Speaking In Tongues	Hilltop Hoods, Chali 2na									3960024	122			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hilltop Hoods, Chali 2na/Drinking From The Sun/06 Speaking In Tongues.mp3
Still Standing	Hilltop Hoods									3372770	105			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hilltop Hoods/State Of The Art/05 Still Standing.mp3
I Love It	Hilltop Hoods, Sia									3613938	113			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hilltop Hoods, Sia/Drinking From The Sun/03 I Love It.mp3
The Nosebleed Section	Hilltop Hoods									3515714	110			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hilltop Hoods/The Calling/09 The Nosebleed Section.mp3
Cosby Sweater	Hilltop Hoods									3620622	108			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hilltop Hoods/Walking Under Stars/03 Cosby Sweater.mp3
Where Yah From	Drapht									3705039	116			11			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Drapht/Brothers Grimm/11 Where Yah From.mp3
1955	Hilltop Hoods, Montaigne, Tom Thum									4140189	120			10			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hilltop Hoods, Montaigne, Tom Thum/Drinking From The Sun, Walking Under Stars Restrung/010 1955.mp3
Drinking From The Sun	Hilltop Hoods									3138725	94			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hilltop Hoods/Drinking From The Sun/02 Drinking From The Sun.mp3
Don Quixote (feat. Hilltop Hoods)	Drapht, Hilltop Hoods									3715521	116			8			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Drapht, Hilltop Hoods/Seven Mirrors/08 Don Quixote (feat. Hilltop Hoods).mp3
Ride	Baker Boy, Yirrmal									3680789	110			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Baker Boy, Yirrmal/Ride/01 Ride.mp3
