Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
We Will Fall Together	Streetlight Manifesto									4698142	144.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Streetlight Manifesto/Somewhere in the Between/01 We Will Fall Together.mp3
The Three of Us	Streetlight Manifesto									5090179	159.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Streetlight Manifesto/The Hands That Thieve/01 The Three of Us.mp3
Everything Went Numb	Streetlight Manifesto									3361503	104.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Streetlight Manifesto/Everything Goes Numb/01 Everything Went Numb.mp3
One Step Beyond	Madness									2262665	69.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madness/One Step Beyond/01 One Step Beyond.mp3
Baggy Trousers	Madness									2699008	83.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madness/Absolutely/01 Baggy Trousers.mp3
House of Fun - 2009 Remaster	Madness									2658507	83.0			14			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madness/Full House - The Very Best of Madness/14 House of Fun - 2009 Remaster.mp3
Wings of a Dove	Madness									3856365	89.5			18			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madness/Full House - The Very Best of Madness/18 Wings of a Dove.mp3
Me and Julio Down by the School Yard	Streetlight Manifesto									2355083	73.5			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Streetlight Manifesto/99 Songs of Revolution Vol. 1/07 Me and Julio Down by the School Yard.mp3
A Message to You Rudy - 2002 Remaster	The Specials									2768435	86.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Specials/The Specials (2002 Remaster)/01 A Message to You Rudy - 2002 Remaster.mp3
Sound System - 2007 Remaster	Operation Ivy									1635341	67.0			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Operation Ivy/Operation Ivy (2007 Remaster)/02 Sound System - 2007 Remaster.mp3
Brown Eyed Girl	Reel Big Fish									2959006	92.0			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Reel Big Fish/Fame, Fortune, And Fornication/05 Brown Eyed Girl.mp3
Super Rad!	The Aquabats!									2926813	91.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Aquabats!/The Fury of the Aquabats!/01 Super Rad!.mp3
Come on Eileen	Save Ferris									4002636	124.5			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Save Ferris/It Means Everything/04 Come on Eileen.mp3
All My Best Friends Are Metalheads	Less Than Jake									3384074	105.5			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Less Than Jake/Hello Rockview/03 All My Best Friends Are Metalheads.mp3
On and On	Mustard Plug									2209168	68.5			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Mustard Plug/In Black And White/09 On and On.mp3
Everyone Else Is An Asshole	Reel Big Fish									4019367	125.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Reel Big Fish/Candy Coated Fury/01 Everyone Else Is An Asshole.mp3
99 Red Balloons	Goldfinger									3875990	114.5			13			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Goldfinger/Stomping Ground/13 99 Red Balloons.mp3
Beatdown Generation	Millington									4215799	97.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Millington/Beatdown Generation/04 Beatdown Generation.mp3
On & On & On	Catch 22									4774178	97.0			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Catch 22/Keasbey Nights/07 On & On & On.mp3
cold weather	glass beach									2211687	69.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/glass beach/the first glass beach album/06 cold weather.mp3
