Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Endless	Fox Stevenson									4418070	140			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Fox Stevenson/Endless/01 Endless.mp3
Friends Again	LVTHER, Claire Ridgely									3144165	98			23			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LVTHER, Claire Ridgely/Monstercat Instinct Vol. 1/23 Friends Again.mp3
About U	Aiobahn, Vin									2809762	88			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Aiobahn, Vin/About U/01 About U.mp3
This Love (feat. Savoi)	LVTHER, Savoi									2903000	90			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LVTHER, Savoi/This Love (feat. Savoi)/01 This Love (feat. Savoi).mp3
In Your Arms	Aiobahn, Ralph Larenzo									3002461	94			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Aiobahn, Ralph Larenzo/In Your Arms/01 In Your Arms.mp3
Canvas	Rezonate									6331501	198			22			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Rezonate/Monstercat 016 - Expedition/22 Canvas.mp3
Some Kind of Magic (feat. MYZICA)	LVTHER, Myzica									3110740	97			14			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LVTHER, Myzica/Monstercat 027 - Cataclysm/14 Some Kind of Magic (feat. MYZICA).mp3
Where I'll Be Waiting (feat. Cozi Zuehlsdorff)	Rich Edwards, Cozi Zuehlsdorff									3097414	96			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Rich Edwards, Cozi Zuehlsdorff/Where I'll Be Waiting (feat. Cozi Zuehlsdorff)/01 Where I'll Be Waiting (feat. Cozi Zuehlsdorff).mp3
Love Back on (feat. Emelie Cyréus)	Summer Was Fun, Emelie Cyréus									3382028	106			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Summer Was Fun, Emelie Cyréus/Love Back On (feat. Emelie Cyréus)/01 Love Back on (feat. Emelie Cyréus).mp3
Otter Pop	Shawn Wasabi, Hollis									2685640	84			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Shawn Wasabi, Hollis/Otter Pop/01 Otter Pop.mp3
Are We Flirting	Abbe May									2935988	92			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Abbe May/Fruit/09 Are We Flirting.mp3
Are We Still Young (feat. Jessi Mason)	Grant, Jessi Mason									3459339	108			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Grant, Jessi Mason/Are We Still Young (feat. Jessi Mason)/01 Are We Still Young (feat. Jessi Mason).mp3
Pay No Mind (feat. Passion Pit)	Madeon, Passion Pit									3986777	124			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madeon, Passion Pit/Adventure (Deluxe)/05 Pay No Mind (feat. Passion Pit).mp3
One Look (feat. Mammals)	LVTHER, Mammals									3787406	118			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/LVTHER, Mammals/One Look (feat. Mammals)/01 One Look (feat. Mammals).mp3
We Are the Dream (TheFatRat Remix)	Sound Remedy, Carousel									3875198	121			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Sound Remedy, Carousel/We Are the Dream the Remixes/03 We Are the Dream (TheFatRat Remix).mp3
Juliet	CloudNone, Matt Van									3779029	118			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/CloudNone, Matt Van/Midnight Underground/05 Juliet.mp3
Tear in My Heart	Twenty One Pilots									3098171	94			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Twenty One Pilots/Blurryface/05 Tear in My Heart.mp3
Wishes	Grant, McCall									3927384	120			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Grant, McCall/Wishes/01 Wishes.mp3
bad idea!	girl in red									3524893	110			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/girl in red/bad idea!/01 bad idea!.mp3
Nuestra Canción	Monsieur Periné, Vicente Garcia									4127213	130			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Monsieur Periné, Vicente Garcia/Caja de Música/01 Nuestra Canción.mp3
