Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Hate To Say I Told You So	The Hives									3241957	100.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Hives/Veni Vidi Vicious/06 Hate To Say I Told You So.mp3
Figure It Out	Blu DeTiger									2626707	82.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Blu DeTiger/Figure It Out/01 Figure It Out.mp3
White Knuckles	OK Go									3454296	99.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/OK Go/Of The Blue Colour of the Sky Extra Nice Edition/06 White Knuckles.mp3
Doom And Gloom	The Rolling Stones									3818317	119.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Rolling Stones/Honk (Deluxe)/03 Doom And Gloom.mp3
Immigrant Song - Remaster	Led Zeppelin									2349627	73.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Led Zeppelin/Led Zeppelin III (Remaster)/01 Immigrant Song - Remaster.mp3
I Wish - Radio Edit	Skee-Lo									4057794	126.0			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Skee-Lo/I Wish/02 I Wish - Radio Edit.mp3
"Coconut Mall (From ""Mario Kart Wii"")"	Qumu									2656421	82.5			1			44505	44505	128	44100		MPEG audio file								"Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Qumu/Coconut Mall (From ""Mario Kart Wii"")/01 Coconut Mall (From ""Mario Kart Wii"").mp3"
Therefore I Am	Billie Eilish									2790551	87.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Billie Eilish/Therefore I Am/01 Therefore I Am.mp3
Intergalactic - Remastered	Beastie Boys									3401230	115.5			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Beastie Boys/Hello Nasty (Deluxe Version/Remastered 2009)/07 Intergalactic - Remastered.mp3
Sabotage	Beastie Boys									2854495	89.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Beastie Boys/Ill Communication/06 Sabotage.mp3
Elephant	Tame Impala									3397832	105.5			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tame Impala/Lonerism/09 Elephant.mp3
Microfreaking Out	Rachel K Collier									2997032	93.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Rachel K Collier/Microfreaking Out/01 Microfreaking Out.mp3
Humility (feat. George Benson)	Gorillaz, George Benson									3212295	98.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Gorillaz, George Benson/The Now Now/01 Humility (feat. George Benson).mp3
Hypnotize - 2005 Remaster	The Notorious B.I.G.									3682516	115.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Notorious B.I.G./Bad Boy's 10th Anniversary- The Hits/03 Hypnotize - 2005 Remaster.mp3
