Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Hunted (feat. Jonny Rose)	Priority One & TwoThirds, Jonny Rose									4237571	132.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Priority One & TwoThirds, Jonny Rose/Hunted (feat. Jonny Rose)/01 Hunted (feat. Jonny Rose).mp3
Riding The Storm	MUZZ									4370859	136.5			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/MUZZ/Monstercat 004 - Identity/05 Riding The Storm.mp3
Too Simple	Tristam, Stephen Walking									4350396	135.5			17			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Tristam, Stephen Walking/Monstercat 008 - Anniversary/17 Too Simple.mp3
Pressure Cooker	Pegboard Nerds									3137891	97.0			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds/Monstercat 008 - Anniversary/06 Pressure Cooker.mp3
Surge (Drum & Bass Mix)	Noisestorm									8274591	124.5			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Noisestorm/Surge/02 Surge (Drum & Bass Mix).mp3
Time Bomb (feat. Veela)	Feint, Boyinaband, Veela									3390352	105.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Feint, Boyinaband, Veela/Monstercat 007 - Solace/01 Time Bomb (feat. Veela).mp3
Razor Sharp	Pegboard Nerds, Tristam									4505024	140.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, Tristam/Razor Sharp/01 Razor Sharp.mp3
Ampersand	Stephen Walking, Soulero									4749971	148.0			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Stephen Walking, Soulero/Monstercat Best of Electro, Vol. 1./04 Ampersand.mp3
Stronger (feat. Emel)	Stonebank, EMEL									5128213	160.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Stonebank, EMEL/Stronger (feat. Emel)/01 Stronger (feat. Emel).mp3
Bring Me Joy	Pegboard Nerds, lug00ber									4393432	137.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, lug00ber/Bring Me Joy/01 Bring Me Joy.mp3
Bring It Back	Dodge & Fuski									3025454	94.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Dodge & Fuski/Disciple Alliance, Vol. 3/03 Bring It Back.mp3
20K	Pegboard Nerds									3788629	118.0			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds/The Lost Tracks/03 20K.mp3
The Munsta	SCNDL									3991750	124.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/SCNDL/The Munsta/01 The Munsta.mp3
Bruises	Fox Stevenson									3534519	110.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Fox Stevenson/Bruises (Destinations)/01 Bruises.mp3
We Are One	Flite									3702940	115.5			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Flite/We Are One/01 We Are One.mp3
High Roller - Dodge & Fuski Remix	Pegboard Nerds, SPLITBREED									3092773	96.0			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Pegboard Nerds, SPLITBREED/High Roller Remixes/01 High Roller - Dodge & Fuski Remix.mp3
