Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Peanut Butter Jelly	Galantis									3266183	102			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Galantis/Pharmacy/09 Peanut Butter Jelly.mp3
Everything Went Numb	Streetlight Manifesto									3361503	104			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Streetlight Manifesto/Everything Goes Numb/01 Everything Went Numb.mp3
Blue Orchid	The White Stripes									2522645	79			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Get Behind Me Satan/01 Blue Orchid.mp3
My Doorbell	The White Stripes									3871400	120			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Get Behind Me Satan/03 My Doorbell.mp3
Fake ID	Riton, Kah-Lo									3953717	123			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Riton, Kah-Lo/Fake ID/01 Fake ID.mp3
Me and Julio Down by the School Yard	Streetlight Manifesto									2355083	74			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Streetlight Manifesto/99 Songs of Revolution Vol. 1/07 Me and Julio Down by the School Yard.mp3
Find That Someone	Televisor, Richard Judge									3228997	114			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Televisor, Richard Judge/Venture/01 Find That Someone.mp3
Icky Thump	The White Stripes									4074100	127			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Icky Thump/01 Icky Thump.mp3
Boss Bitch	Doja Cat									2163599	67			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Doja Cat/Boss Bitch/01 Boss Bitch.mp3
Lazaretto	Jack White									3701271	110			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Jack White/Lazaretto/02 Lazaretto.mp3
Never Miss a Beat	Kaiser Chiefs									3027125	94			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/Off with Their Heads/02 Never Miss a Beat.mp3
We Will Fall Together	Streetlight Manifesto									4698142	144			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Streetlight Manifesto/Somewhere in the Between/01 We Will Fall Together.mp3
The Trooper - 2015 Remaster	Iron Maiden									4036095	126			5			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Iron Maiden/Piece of Mind (2015 Remaster)/05 The Trooper - 2015 Remaster.mp3
Fell In Love With a Girl	The White Stripes									1779943	55			4			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/White Blood Cells/04 Fell In Love With a Girl.mp3
Woman	Wolfmother									2836511	88			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Wolfmother/Wolfmother/03 Woman.mp3
The Three of Us	Streetlight Manifesto									5090179	159			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Streetlight Manifesto/The Hands That Thieve/01 The Three of Us.mp3
Everybody Knows You Cried Last Night	The Fratellis									3752297	117			10			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/010 Everybody Knows You Cried Last Night.mp3
The Hardest Button to Button	The White Stripes									3400783	106			9			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The White Stripes/Elephant/09 The Hardest Button to Button.mp3
Cut the Kid	Madeon									3201399	98			16			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Madeon/Adventure (Deluxe)/16 Cut the Kid.mp3
It's You - Ridiculous Mix	Duck Sauce									3766906	118			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Duck Sauce/It's You/02 It's You - Ridiculous Mix.mp3
Joker And The Thief	Wolfmother									4149334	140			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Wolfmother/Wolfmother/06 Joker And The Thief.mp3
Birdhouse in Your Soul	They Might Be Giants									3184275	99			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/02 Birdhouse in Your Soul.mp3
Shazam!	Spiderbait									1924526	62			3			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Spiderbait/Grand Slam/03 Shazam!.mp3
Four Twenty	Malaa									3274534	102			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Malaa/Four Twenty/01 Four Twenty.mp3
Henrietta	The Fratellis									3387810	106			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/The Fratellis/Costello Music/01 Henrietta.mp3
Your Racist Friend	They Might Be Giants									2808525	88			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/They Might Be Giants/Flood/06 Your Racist Friend.mp3
Na Na Na (Na Na Na Na Na Na Na Na Na)	My Chemical Romance									3301364	102			2			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/My Chemical Romance/Danger Days: The True Lives of the Fabulous Killjoys/02 Na Na Na (Na Na Na Na Na Na Na Na Na).mp3
Typical Story	Hobo Johnson									3059725	96			1			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Hobo Johnson/The Fall of Hobo Johnson/01 Typical Story.mp3
Run to the Hills - 2015 Remaster	Iron Maiden									3739359	116			6			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Iron Maiden/The Number of the Beast (2015 Remaster)/06 Run to the Hills - 2015 Remaster.mp3
99 Red Balloons	Goldfinger									3875990	114			13			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Goldfinger/Stomping Ground/13 99 Red Balloons.mp3
I Predict a Riot	Kaiser Chiefs									3732657	116			7			44505	44505	128	44100		MPEG audio file								Macintosh HD/Users/bea/Music/Music/Media.localized/Music/Kaiser Chiefs/The Coolest Songs in the World! Vol. 7/07 I Predict a Riot.mp3
